"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Photography","Course Total","","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","422
003","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
422","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","13","3.443","61.5","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","448
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
448","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","448
007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","88","3.920","93.2","3.4","1.1",".",".",".","1.1",".",".",".",".",".","1.1",".",".","."
"Concept&Methodol of Figuration","452
001","","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Neon: Light as Sculpture","454
001","","15","3.208","20.0","33.3","20.0",".",".",".","6.7",".",".",".",".",".","13.3",".","6.7","."
"Intermediate Photography","476
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508
001","","80","3.833","86.3","6.3","1.3","1.3",".",".","2.5",".","2.5",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522
001","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","524
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","524
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","8","3.217","50.0","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","546
001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546
002","","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","Course Total","","29","3.724","58.6","31.0","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","","17","3.640","47.1","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Adv Graphic Design Technlgy","556
001","","19","3.722","78.9","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","5.3","."
"Advanced Photography","576
001","","8","3.500","75.0",".",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","612
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 73 of 392"
