"Second Semester Turkish","327
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"First Yr Cen Asian Lang II","332
001","","6","3.921","83.3","16.7","",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Prosmr:Rise-Cen Asian Natns","540
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Fiction&Ethnography in Turkey","579
001","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CEN ASIA
218","Dept. Total","","22","3.881","68.2","22.7","",".",".","",".","",".","",".","4.5","",".",".","",".","",".","",".","4.5",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"218
CEN ASIA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","3.875","75.0","25.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","6","3.813","50.0","33.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".","16.7",".","."
"Undergraduates","","","11","3.806","54.5","36.4","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".","9.1",".","."
"Graduate","","","10","3.946","80.0","10.0","",".",".","",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","22","3.881","68.2","22.7","",".",".","",".","",".","",".","4.5","",".",".","",".","",".","",".","4.5",".","."
