"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","138","3.114","18.8","28.3","26.1","14.5","8.7","0.7","1.4",".",".",".",".",".",".","1.4",".","."
"","120","001","171","2.647","9.9","10.5","29.2","19.9","20.5","8.2","1.2","0.6",".",".",".",".",".",".",".","."
"","120","002","168","2.801","10.1","19.6","24.4","23.8","16.7","4.8","0.6",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","339","2.723","10.0","15.0","26.8","21.8","18.6","6.5","0.9","0.3",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","77","2.760","7.8","11.7","45.5","11.7","14.3","2.6","3.9","2.6",".",".",".",".",".",".",".","."
"","127","001","122","2.869","14.8","17.2","26.2","15.6","24.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"","127","002","171","2.982","21.1","22.8","15.2","24.0","13.5","1.8","1.8",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","293","2.935","18.4","20.5","19.8","20.5","18.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","15","3.500","46.7","26.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","10","2.850",".","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","14","3.214","28.6","7.1","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","33","2.667","12.1","6.1","21.2","18.2","30.3","3.0",".","6.1",".",".",".",".","3.0",".",".","."
"Regional Develop & Planning","312","001","37","3.292","32.4","16.2","35.1","2.7","10.8",".",".","2.7",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","37","3.091","18.9","18.9","27.0","8.1","16.2",".",".","8.1",".",".",".",".",".","2.7",".","."
"Landforms&Landscapes-N Amer","329","001","52","3.204","34.6","9.6","28.8","9.6","9.6",".","1.9","1.9",".",".",".","1.9",".",".","1.9","."
"Climatic Environments-Past","331","001","23","2.932","17.4","8.7","30.4","21.7","17.4",".",".","4.3",".",".",".",".",".",".",".","."
"","339","001","65","2.546","7.7","10.8","32.3","15.4","23.1","4.6","6.2",".",".",".",".",".",".",".",".","."
"","339","002","47","2.426","10.6","12.8","10.6","12.8","38.3","14.9",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","112","2.496","8.9","11.6","23.2","14.3","29.5","8.9","3.6",".",".",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","47","3.321","21.3","29.8","27.7","6.4","4.3",".",".","10.6",".",".",".",".",".",".",".","."
"Europe","349","001","67","3.262","23.9","29.9","28.4","9.0","4.5",".","1.5","3.0",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","37","3.068","27.0","21.6","27.0","2.7","16.2","2.7","2.7",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","35","3.029","37.1","11.4","22.9","5.7","14.3","2.9","5.7",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","41","3.192","29.3","19.5","24.4","12.2","4.9","4.9",".","4.9",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health&Soc Welfare-West Soc","444","001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","35","3.571","45.7","25.7","25.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","19","3.500","42.1","15.8","15.8","5.3","5.3",".",".",".",".",".",".",".","15.8",".",".","."
"Hist Geog-European Urbanztn","506","001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Geomorphology","525","001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","34","3.290","29.4","20.6","23.5","8.8","8.8",".",".","2.9",".",".",".",".","2.9",".",".","2.9"
"Colloq-Undergraduate Majors","565","001","21","3.167","52.4","4.8","23.8",".","4.8","9.5","4.8",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","26","3.519","23.1","57.7","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","28","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","6","",".",".",".",".",".",".",".",".",".","50.0",".",".",".",".",".","."
"","675","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
