"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","13","3.231","23.1","15.4","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.056","21.1","15.8","21.1","26.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","101
004","20","3.250","25.0","30.0","25.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
007","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.079","25.0","20.0","25.0","15.0",".","10.0",".","5.0",".",".",".",".",".",".",".","."
"","101
009","16","3.344","25.0","31.3","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
011","20","3.559","60.0","5.0","15.0",".",".",".","5.0","10.0",".",".",".",".",".",".",".","5.0"
"","012
101","17","3.438","41.2","17.6","17.6","17.6",".",".",".","5.9",".",".",".",".",".",".",".","."
"","101
014","22","3.386","31.8","31.8","31.8",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","015
101","19","3.306","47.4","15.8","10.5",".","15.8","5.3",".","5.3",".",".",".",".",".",".",".","."
"","101
016","15","2.000","6.7","20.0","20.0","6.7",".",".","33.3","13.3",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","199","3.247","34.7","20.1","23.6","8.0","4.0","2.0","3.0","4.0",".",".",".",".",".",".",".","0.5"
"","002
102","22","3.476","40.9","13.6","36.4","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"","102
005","23","3.409","39.1","17.4","30.4",".","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","102
006","26","3.269","34.6","34.6","7.7","11.5","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"","102
008","13","3.038","38.5","15.4","23.1","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"","009
102","16","3.344","31.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","16","3.531","43.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
102","18","2.917","22.2","16.7","33.3","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","102
014","17","3.353","29.4","23.5","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","15","3.533","40.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","18","3.333","16.7","38.9","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","196","3.340","34.7","24.5","26.5","8.2","2.6","1.0","1.5","0.5",".",".",".",".",".","0.5",".","."
"Second Semester Italian Honors","182
001","17","3.813","70.6","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","5.9","."
"","201
001","18","3.556","38.9","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","11","3.273","36.4","36.4","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","004
201","15","3.808","53.3","33.3",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","44","3.560","43.2","34.1","13.6",".","2.3","2.3",".","4.5",".",".",".",".",".",".",".","."
"","001
203","16","2.875","6.3","31.3","25.0","6.3","31.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","16","2.781",".","18.8","43.8","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","004
203","16","2.719","12.5","12.5","18.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","203
006","11","2.909","9.1","18.2","45.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","008
203","9","3.167","33.3","22.2","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","203
009","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","74","2.899","10.8","23.0","29.7","16.2","16.2","4.1",".",".",".",".",".",".",".",".",".","."
"","204
001","16","3.344","43.8","31.3","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","204
003","18","3.583","50.0","22.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","34","3.471","47.1","26.5","17.6","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","001
230","11","3.273","18.2","36.4","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","11","3.643","36.4","9.1","18.2",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Italian for Business","313
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","15","3.698","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
