"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","17","2.735","17.6","29.4","17.6",".","11.8","23.5",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.150","20.0","50.0","15.0",".","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","102
003","18","3.278","27.8","33.3","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","004
102","19","3.382","26.3","36.8","15.8",".","10.5",".",".","10.5",".",".",".",".",".",".",".","."
"","102
005","20","3.833","85.0",".",".",".",".","5.0",".","10.0",".",".",".",".",".",".",".","."
"","006
102","22","3.905","77.3","18.2",".",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Two-Dimensional Design","Course Total","116","3.396","44.0","27.6","11.2","1.7","4.3","6.0","0.9","3.4",".",".",".",".",".","0.9",".","."
"","104
001","18","3.559","50.0","22.2","5.6","16.7",".",".",".",".","5.6",".",".",".",".",".",".","."
"","104
002","19","3.289","21.1","42.1","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","104
003","21","3.595","47.6","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","13","3.231","30.8","30.8","30.8",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","005
104","23","3.478","43.5","30.4","17.4","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","94","3.446","39.4","30.9","18.1","6.4","2.1","1.1","1.1",".","1.1",".",".",".",".",".",".","."
"","001
112","15","3.321","33.3","20.0","20.0","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".","."
"","112
002","22","3.273","50.0","22.7","4.5","4.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"","003
112","24","3.542","58.3","20.8","12.5","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","112
004","20","3.425","45.0","35.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","112
005","21","3.444","19.0","47.6","14.3",".","4.8",".",".","14.3",".",".",".",".",".",".",".","."
"","006
112","23","3.262","39.1","21.7","17.4",".","4.3","4.3","4.3","8.7",".",".",".",".",".",".",".","."
"","112
007","22","3.500","59.1","9.1","27.3",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","112
008","20","3.625","60.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","167","3.429","46.1","24.6","14.4","3.0","4.2","1.2","3.0","3.0","0.6",".",".",".",".",".",".","."
"Current Directions in Art","208
001","184","3.622","56.0","29.3","7.1","4.9","1.1",".","1.6",".",".",".",".",".",".",".",".","."
"","212
001","22","3.432","31.8","36.4","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","212
002","15","3.633","66.7","6.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","212
003","23","3.413","21.7","47.8","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","004
212","22","3.455","40.9","36.4","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","212
005","19","3.444","36.8","21.1","26.3","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"Drawing II","Course Total","101","3.465","37.6","31.7","21.8","5.0","2.0",".","1.0","1.0",".",".",".",".",".",".",".","."
"","214
001","16","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
003","17","3.471","29.4","47.1","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","33","3.545","27.3","60.6","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","001
222","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","19","3.500","42.1","26.3","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","003
222","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","55","3.682","52.7","34.5","10.9",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","001
224","16","3.656","31.3","68.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","17","3.559","11.8","88.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","49","3.735","46.9","53.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
001","20","3.525","35.0","45.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","232
002","13","3.500","53.8","23.1","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","232
003","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","47","3.585","46.8","36.2","12.8",".","2.1","2.1",".",".",".",".",".",".",".",".",".","."
