"NUCLEAR ENGINEERING","Section","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","",""
"Advanced Independent Study","999
024","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"N E
684","Dept. Total","178","3.522","28.7","12.9","13.5","3.4","",".","0.6","0.6","12.4","",".","16.3","1.1","9.6","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","",".",".",".",".","",".",".",".",".","",".","90.0","10.0",".",".",".",".","."
"Sophomore","","14","",".",".",".",".","",".",".",".",".","",".","100.0",".",".",".",".",".","."
"Junior","","10","2.912","10.0","10.0","30.0",".","",".","10.0",".",".","",".","30.0","10.0",".",".",".",".","."
"Senior","","47","3.415","38.3","21.3","19.1","10.6","",".",".","2.1","2.1","",".","6.4",".",".",".",".",".","."
"Undergraduates","","81","3.351","23.5","13.6","14.8","6.2","",".","1.2","1.2","1.2","",".","35.8","2.5",".",".",".",".","."
"Special","","2","4.000","100.0",".",".",".","",".",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","98","3.647","31.6","12.2","12.2","1.0","",".",".",".","23.5","",".",".",".","17.3","2.0",".",".","."
"","Dept. Total","181","3.522","28.7","12.7","13.3","3.3","",".","0.6","0.6","13.3","",".","16.0","1.1","9.4","1.1",".",".","."
