"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"General Ecology","460
001","","49","3.156","28.6","12.2","38.8","2.0","14.3","2.0",".","2.0",".",".",".",".",".",".",".","."
"General Genetics","466
001","","66","2.331","10.6","4.5","25.8","3.0","37.9","10.6","6.1","1.5",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","","121","3.063","28.9","14.9","22.3","10.7","19.8","2.5",".",".",".",".",".",".",".",".",".","0.8"
"Plant-Insect Interactions","473
001","","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","","75","3.147","30.7","5.3","45.3","5.3","10.7","2.7",".",".",".",".",".",".",".",".",".","."
"","511
001","","21","3.476","47.6","14.3","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","38","3.592","47.4","31.6","13.2","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","001
520","","91","3.033","37.4","5.5","20.9","5.5","26.4","2.2","1.1",".",".",".",".",".",".",".","1.1","."
"","521
001","","8","2.188","25.0",".","12.5","12.5","25.0",".","25.0",".",".",".",".",".",".",".",".","."
"","521
002","","17","2.735","23.5",".","29.4","17.6","17.6","11.8",".",".",".",".",".",".",".",".",".","."
"","521
003","","14","3.231","28.6","28.6","14.3",".","21.4",".",".","7.1",".",".",".",".",".",".",".","."
"","521
004","","17","2.324","5.9","11.8","11.8","5.9","52.9","11.8",".",".",".",".",".",".",".",".",".","."
"","521
005","","10","2.750","10.0","20.0","30.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Field Ornithology","Course Total","","66","2.662","18.2","12.1","19.7","9.1","28.8","7.6","3.0","1.5",".",".",".",".",".",".",".","."
"Neurobi II:Intr-Brain&Behav","524
001","","39","3.282","51.3","15.4","7.7","10.3","7.7","5.1","2.6",".",".",".",".",".",".",".",".","."
"Animal Structural Design","525
001","","24","3.292","37.5","12.5","29.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Comparative Physiology","611
001","","35","3.076","25.7","17.1","25.7","8.6","11.4","5.7",".","2.9",".",".",".",".",".",".","2.9","."
"Comparative Physiology Lab","612
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651
001","","13","3.500","38.5","38.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Modern Biologicl Microscopy","675
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship in Ecology","677
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Senior Thesis","691
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 315 of 392",""
