"","990
015","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","20","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"THEATRE
942","Dept. Total","1104","3.584","54.3","22.0","12.2","4.4","2.2","0.5","0.8","2.5","0.1",".",".","0.5",".","0.2",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","166","3.483","54.8","19.9","13.3","4.8","3.0","1.2","2.4",".",".",".",".",".",".",".",".","0.6"
"Sophomore","","282","3.552","52.5","24.5","12.8","7.1","1.1",".","1.4",".",".",".",".",".",".","0.7",".","."
"Junior","","235","3.560","50.6","26.4","14.9","3.4","3.0","0.4","0.4","0.4",".",".",".",".",".",".",".","0.4"
"Senior","","293","3.593","53.2","20.8","14.0","4.1","2.4","1.0",".","3.8","0.3",".",".","0.3",".",".",".","."
"Undergraduates","","976","3.553","52.7","23.1","13.7","4.9","2.3","0.6","0.9","1.2","0.1",".",".","0.1",".","0.2",".","0.2"
"Special","","11","3.741","72.7","9.1",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Graduate","","116","3.869","65.5","14.7","0.9","0.9","0.9",".",".","12.9",".",".",".","4.3",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1104","3.584","54.3","22.0","12.2","4.4","2.2","0.5","0.8","2.5","0.1",".",".","0.5",".","0.2",".","0.2"
