"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","412","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","","Course Total","","46","3.302","47.8",".","26.1",".","19.6",".",".",".",".",".",".",".",".",".","6.5","."
"Electromag Wave Transmissn","420","001","","34","3.000","29.4","14.7","14.7","20.6","14.7","5.9",".",".",".",".",".",".",".",".",".","."
"Digital Communication Sys","437","001","","17","3.625","41.2","35.3","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Communication Systems Lab I","438","001","","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444","001","","17","3.400","29.4","17.6","35.3","5.9",".",".",".","5.9",".",".",".",".",".",".","5.9","."
"Digital Microprocessors","453","001","","30","3.467","33.3","46.7","3.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Math&Comp Model-Physiol Sys","461","001","","9","3.167",".","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","491","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","511","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","","Course Total","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Introduction to Plasmas","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Speech Signal Processing","531","001","","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Communication Networks","537","001","","77","3.099","14.3","29.9","31.2","10.4","11.7","1.3",".","1.3",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539","002","","14","3.538","28.6","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Analg MOS Integrtd Cir Dsgn","541","001","","16","3.067","50.0","12.5","6.3",".","12.5",".","12.5","6.3",".",".",".",".",".",".",".","."
"Processing-Electronic Matls","544","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Communications Engr Lab","545","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lasers","546","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","71","3.100","19.7","21.1","31.0","15.5","9.9","1.4",".","1.4",".",".",".",".",".",".",".","."
"","552","001","","48","3.302","22.9","39.6","22.9","8.3","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","552","002","","20","3.100","30.0","25.0","10.0","5.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","68","3.243","25.0","35.3","19.1","7.4","11.8","1.5",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","34","3.662","52.9","26.5","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","","77","3.273","36.4","26.0","14.3","10.4","10.4","1.3","1.3",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","31","3.417","58.1","16.1","6.5",".","9.7","3.2","3.2",".",".",".",".",".","3.2",".",".","."
"Automatic Controls Lab","577","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","601","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Elec&Comptr Eng","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intro-Error-Correctng Codes","641","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 117 of 392",""
