"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","6","2.917","16.7","16.7","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","12","3.167","25.0","16.7","41.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"102","001","","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"102","002","","12","3.458","58.3","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"102","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","23","3.413","47.8","21.7","21.7",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","7","3.071","28.6","42.9","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"104","001","","7","2.857","28.6","14.3","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"104","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","9","3.000","22.2","33.3","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"148
First Year Composition","001","","8","3.286","37.5",".","37.5",".","12.5",".",".",".",".",".",".",".",".","12.5",".","."
"18
Fundamentals-High Brass","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","008","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","250","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","251","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","252","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","253","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","254","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","38","3.810","71.1","15.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichard","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","6","3.769","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","7","3.833","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","269","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","29","3.769","62.1","27.6","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"219","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"219","220","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","Course Total","","5","***","","","","","","","","","","","","","","","",""
"221
Elem/Intmed Trombone","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
