"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"725
Career Couns & Job Placemnt","001","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Spec St-Indiv w/Disablties","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803
Current Issues-Special Educ","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840
Rehab Cnslg Psych-Grp Proc","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Smr:Assessmnt in Rehab Psyc","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 3","Course Total","","3","***","","","","","","","","","","","","","","","",""
"910
Rehab Cnsl Psych-Internship","001","","8","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Cnsl Supvn","Course Total","","3","***","","","","","","","","","","","","","","","",""
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","4","***","","","","","","","","","","","","","","","",""
"940","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Supv Rsch","Course Total","","2","***","","","","","","","","","","","","","","","",""
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"985
Indv/Disblty:Adv Rsch Mthds","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 79 of 392"
