"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","211","2.823","15.6","15.6","23.2","18.0","21.3","0.9","2.8","2.4",".",".",".",".",".",".",".","."
"","202
001","274","2.707","14.6","23.7","11.3","16.4","23.0","7.3","3.3","0.4",".",".",".",".",".",".",".","."
"","002
202","335","3.059","24.2","27.2","12.5","17.3","14.6","2.1","1.5","0.6",".",".",".",".",".",".",".","."
"","202
003","329","2.852","16.7","21.6","14.6","27.4","11.6","5.8","1.8","0.3",".",".",".",".",".",".",".","0.3"
"","202
004","320","2.762","18.1","15.3","18.8","14.1","27.2","3.4","2.8",".",".",".",".",".",".",".","0.3","."
"","005
202","338","2.553","14.2","15.7","13.9","13.3","29.3","10.1","3.6",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1596","2.789","17.7","20.6","14.3","17.7","21.1","5.7","2.6","0.3",".",".",".",".",".",".","0.1","0.1"
"","210
001","55","2.518","14.5","5.5","25.5","7.3","34.5","10.9","1.8",".",".",".",".",".",".",".",".","."
"","210
002","52","2.894","23.1","15.4","26.9","17.3","9.6",".","7.7",".",".",".",".",".",".",".",".","."
"","003
210","39","2.705","17.9","12.8","25.6","5.1","28.2","7.7","2.6",".",".",".",".",".",".",".",".","."
"","210
004","61","2.918","19.7","24.6","19.7","8.2","21.3","4.9","1.6",".",".",".",".",".",".",".",".","."
"","210
005","60","2.602","16.7","5.0","26.7","10.0","28.3","10.0","1.7","1.7",".",".",".",".",".",".",".","."
"","210
006","60","2.450","15.0","6.7","21.7","10.0","30.0","11.7","5.0",".",".",".",".",".",".",".",".","."
"Psychometric Methods","Course Total","327","2.678","17.7","11.6","24.2","9.8","25.4","7.6","3.4","0.3",".",".",".",".",".",".",".","."
"","225
001","41","2.463","4.9","4.9","31.7","17.1","31.7","2.4","4.9",".",".",".",".",".",".",".",".","2.4"
"","002
225","44","2.625","18.2","4.5","27.3","11.4","25.0","13.6",".",".",".",".",".",".",".",".",".","."
"","003
225","43","2.651","16.3","9.3","25.6","9.3","30.2","7.0","2.3",".",".",".",".",".",".",".",".","."
"","004
225","46","2.793","13.0","10.9","32.6","17.4","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","225
005","44","2.580","9.1","11.4","18.2","22.7","31.8","6.8",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","218","2.627","12.4","8.3","27.1","15.6","28.0","6.9","1.4",".",".",".",".",".",".",".",".","0.5"
"Honors Crse-Intro to Psych","281
001","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","9","3.167","11.1","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","386
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Motivation","409
001","103","2.975","14.6","22.3","32.0","13.6","9.7","5.8",".","1.0","1.0",".",".",".",".",".",".","."
"","411
015","25","3.360","12.0","48.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","043
411","23","3.761","65.2","21.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
044","22","2.773","13.6","18.2","18.2","27.3","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"","411
048","24","3.375","45.8",".","45.8",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","411
049","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","050
411","24","3.130","29.2","29.2","16.7","12.5","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"","411
051","22","3.045","22.7","27.3","22.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","411
056","26","3.577","65.4",".","26.9",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","411
059","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","061
411","28","3.536","42.9","32.1","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","411
062","24","2.917","16.7","12.5","33.3","29.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","411
063","22","3.568","36.4","40.9","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","287","3.423","45.6","19.5","21.6","6.6","4.2","1.7","0.7",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","001
414","119","2.699","4.2","6.7","49.6","16.0","16.0","6.7",".",".",".",".",".",".",".","0.8",".","."
"Animal Behavior-Primates","001
450","341","3.251","31.1","21.4","27.6","10.3","5.3","1.2","1.5","1.8",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","454
001","62","2.927","17.7","12.9","37.1","14.5","12.9","3.2","1.6",".",".",".",".",".",".",".",".","."
"","455
001","10","3.050","10.0","40.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","002
455","12","2.958","33.3","8.3","25.0",".","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 278 of 392",""
