"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Young Child","362
001","232","2.989","24.1","19.0","22.4","10.8","12.9","5.6","1.7","3.4",".",".",".",".",".",".",".","."
"","363
001","44","3.107","15.9","27.3","25.0","20.5","4.5","2.3",".","4.5",".",".",".",".",".",".",".","."
"","363
002","275","2.975","12.0","20.4","27.3","27.3","8.0","1.5",".","3.6",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","319","2.993","12.5","21.3","27.0","26.3","7.5","1.6",".","3.8",".",".",".",".",".",".",".","."
"Child Play-Development&Role","001
464","32","3.828","81.3","3.1","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","31","3.403","29.0","32.3","29.0","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","34","3.676","61.8","17.6","17.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473
001","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474
001","51","3.520","49.0","35.3","2.0","5.9","3.9","3.9",".",".",".",".",".",".",".",".",".","."
"Dev Blk Child&Fam: Rsch&Pol","478
001","47","3.268","8.5","42.6","44.7","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","501
001","29","3.707","75.9","13.8","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"","002
501","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","60","3.825","81.7","13.3","1.7","1.7",".",".","1.7",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","32","3.790","65.6","25.0","3.1","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","30","3.150","6.7","36.7","53.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","30","3.467","30.0","36.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566
001","20","3.625","60.0","20.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
601","23","3.865","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","24","3.868","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescence and the Family","762
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Aging and the Family","763
001","20","3.889","75.0","10.0","5.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","766
001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","766
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","12","3.932","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 142 of 392",""
