"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","56","3.069","23.2","23.2","10.7","21.4","7.1","5.4",".","3.6",".",".",".",".","1.8","3.6",".","."
"","102","001","130","3.396","31.5","32.3","20.0","8.5","3.1",".","0.8","3.1",".",".",".",".",".",".","0.8","."
"","102","002","216","3.274","12.5","41.7","30.1","5.6","1.9","0.9","0.5","6.9",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","","Course Total","346","3.321","19.7","38.2","26.3","6.6","2.3","0.6","0.6","5.5",".",".",".",".",".",".","0.3","."
"Intro-E Asian History:China","103","001","78","3.303","21.8","35.9","26.9","10.3","1.3",".","1.3","1.3",".",".",".",".",".","1.3",".","."
"The Ancient Mediterranean","110","001","70","3.408","31.4","25.7","25.7","5.7","4.3",".",".","7.1",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115","001","67","3.219","31.3","25.4","22.4","4.5","9.0","4.5","1.5",".",".",".",".",".",".",".","1.5","."
"Modern Europe 1500-1815","119","001","67","2.748","6.0","10.4","35.8","17.9","28.4",".",".","1.5",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","69","2.904","11.6","24.6","21.7","23.2","11.6","1.4","2.9","1.4",".",".",".",".",".","1.4",".","."
"British Hist: 1688-Present","124","001","130","3.174","20.0","28.5","24.6","16.2","3.1","3.1",".","4.6",".",".",".",".",".",".",".","."
"","200","001","20","3.425","20.0","45.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","32","3.422","21.9","40.6","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Westrn Relig&Intellect Hist","208","001","41","3.081","14.6","22.0","41.5","7.3",".",".","4.9","7.3",".",".",".",".","2.4",".",".","."
"","221","001","27","3.481","40.7","33.3","11.1","7.4",".","3.7",".","3.7",".",".",".",".",".",".",".","."
"","221","002","13","3.625","46.2","23.1","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","","Course Total","40","3.526","42.5","30.0","15.0","5.0",".","2.5",".","5.0",".",".",".",".",".",".",".","."
"","223","001","22","2.528",".","18.2","22.7","22.7","4.5","9.1","4.5","18.2",".",".",".",".",".",".",".","."
"","223","002","14","3.679","85.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","36","3.031","33.3","13.9","13.9","13.9","2.8","5.6","5.6","11.1",".",".",".",".",".",".",".","."
"Exploration-European Hist (S)","224","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","48","3.315","35.4","27.1","12.5","12.5","6.3",".","2.1","2.1",".",".",".",".",".",".","2.1","."
"American Business History","247","001","68","3.246","17.6","32.4","27.9","14.7","2.9",".",".","4.4",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","34","3.091","11.8","35.3","29.4","11.8","5.9",".","2.9","2.9",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","72","3.199","25.0","30.6","19.4","6.9","8.3","2.8","1.4","2.8",".",".",".",".","1.4",".","1.4","."
"Cen Asia: Silk Route-Afghan","265","001","90","3.512","38.9","36.7","11.1","3.3","1.1",".","2.2","2.2",".",".",".",".","2.2",".","2.2","."
"Africa: Introductory Survey","277","001","53","3.382","34.0","24.5","26.4","7.5","1.9","1.9",".","3.8",".",".",".",".",".",".",".","."
"Amer Constutnl & Legal Dev","331","001","67","3.322","23.9","35.8","28.4","4.5","1.5","3.0",".","3.0",".",".",".",".",".",".",".","."
"The Protestant Reformation","334","001","45","3.655","44.4","35.6","11.1","2.2",".",".",".",".",".",".",".",".",".",".","6.7","."
"Hist-Modern China 1911-1949","338","001","37","3.072","18.9","21.6","13.5","16.2","13.5","2.7",".","5.4",".",".",".",".",".",".","2.7","5.4"
"American Rev 1763-1789","344","001","72","3.002","5.6","27.8","34.7","15.3","6.9","2.8",".","6.9",".",".",".",".",".",".",".","."
"Politcl Hist-Modrn Olympics","346","001","68","3.335","16.2","38.2","33.8","7.4",".",".",".","4.4",".",".",".",".",".",".",".","."
"Seventeenth-Century Europe","351","001","60","2.854","13.3","18.3","21.7","15.0","15.0","5.0","1.7","6.7",".",".",".",".","3.3",".",".","."
"Women&Gender in US Since 1870","354","001","93","3.301","18.3","40.9","24.7","7.5","3.2",".","1.1","4.3",".",".",".",".",".",".",".","."
"The Second World War","357","001","70","3.082","21.4","17.1","21.4","14.3","12.9","1.4",".","10.0",".",".",".",".",".","1.4",".","."
"Soc-Shakespeares England","367","001","47","3.190","27.7","25.5","12.8","19.1","4.3","2.1","2.1","6.4",".",".",".",".",".",".",".","."
"Islam in Iran","379","001","38","3.230","10.5","39.5","44.7",".",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"Jefferson&Jackson,1789-1848","391","001","71","3.375","35.2","28.2","25.4","2.8","2.8",".","2.8","2.8",".",".",".",".",".",".",".","."
"Military Hist-United States","396","001","58","3.078","12.1","22.4","37.9","12.1","5.2",".","1.7","8.6",".",".",".",".",".",".",".","."
"United States 1914-1945","397","001","85","3.580","44.7","24.7","15.3","5.9","2.4",".",".","2.4",".",".",".",".",".",".","4.7","."
"The US Since 1945","398","001","72","3.453","20.8","47.2","22.2","4.2",".",".",".","4.2",".",".",".",".","1.4",".",".","."
