"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Urban Hist Since 1870","402","001","75","3.344","25.3","42.7","21.3","2.7","6.7",".","1.3",".",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","77","2.905","22.1","10.4","26.0","19.5","16.9","2.6","1.3","1.3",".",".",".",".",".",".",".","."
"Hist-Germany, 1871-Present","410","001","67","3.016","11.9","34.3","17.9","16.4","11.9","1.5","1.5","4.5",".",".",".",".",".",".",".","."
"History-American Education","412","001","87","3.099","20.7","27.6","24.1","14.9","6.9","3.4","1.1","1.1",".",".",".",".",".",".",".","."
"E Europe Jews in US,1880-1930s","416","001","54","3.190","11.1","33.3","35.2","9.3","3.7","1.9",".","5.6",".",".",".",".",".",".",".","."
"History of Russia","418","001","36","3.241","16.7","41.7","16.7","16.7","5.6",".",".","2.8",".",".",".",".",".",".",".","."
"History of Soviet Russia","419","001","59","3.209","18.6","33.9","32.2","5.1","5.1","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"Amer Foreign Rel-1901 on","434","001","133","3.362","24.1","32.3","36.1","4.5","0.8",".","0.8","0.8",".",".",".",".",".",".","0.8","."
"Buddhism&Soc-SE Asian Hist","438","001","45","3.036","13.3","15.6","40.0","8.9","13.3",".",".","6.7","2.2",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","59","3.147","20.3","27.1","23.7","6.8","13.6","1.7",".","6.8",".",".",".",".",".",".",".","."
"History of West Africa","443","001","39","3.007",".","35.9","33.3","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"History of Southern Africa","446","001","36","3.004","22.2","27.8","22.2","13.9","2.8","8.3","2.8",".",".",".",".",".",".",".",".","."
"History of Medieval India","448","001","57","3.215","21.1","28.1","29.8","12.3","3.5","1.8",".","3.5",".",".",".",".",".",".",".","."
"Modern India, 1860-1990","450","001","36","3.444","30.6","36.1","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","40","3.773","65.0","22.5",".",".",".",".","2.5","7.5",".",".",".",".","2.5",".",".","."
"Amer Environmental History","460","001","144","3.450","37.5","26.4","22.2","9.0","0.7",".","0.7","3.5",".",".",".",".",".",".",".","."
"Econ&Soc Hist-Eur 1500-1750","467","001","32","3.700","84.4","3.1","3.1",".",".",".","6.3","3.1",".",".",".",".",".",".",".","."
"Paideia:Ed in Westrn Cultur","479","001","15","3.841","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","001","21","3.575","33.3","42.9","19.0",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Health, Disease&Healing II","508","001","11","2.950","9.1","18.2","36.4","9.1","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"Multi-Racial Soc:Latin Amer","533","001","24","3.449","37.5","25.0","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Balkans & Mid E: 1700-1918","540","001","40","3.648","57.5","12.5","20.0",".","2.5",".",".",".",".",".",".",".",".",".","5.0","2.5"
"Adv Intdis Stdy-Medvl Civ","550","001","38","3.514","42.1","34.2","15.8","2.6",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","29","2.759","10.3","20.7","31.0","13.8","13.8","6.9","3.4",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","8","3.000","25.0",".","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Printing","570","001","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","600","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","11","2.864","36.4","18.2","18.2","9.1",".",".","18.2",".",".",".",".",".",".",".",".","."
"","600","003","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","13","2.923","23.1","15.4","30.8","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","600","006","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","15","3.167","13.3","40.0","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","600","008","13","3.346","46.2","23.1","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","600","009","15","2.367","20.0",".","13.3","6.7","46.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","600","010","19","3.711","42.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","15","3.679","53.3","20.0","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","600","012","18","3.139","16.7","27.8","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","600","013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","014","16","3.167","25.0","12.5","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","6.3"
"","600","015","12","3.208","33.3","16.7","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","600","016","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","209","3.350","42.1","21.5","18.7","7.7","6.2","0.5","2.4",".",".",".",".",".","0.5",".",".","0.5"
