"","991
076","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","991
083","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","991
084","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","16","4.000","12.5",".",".",".",".",".",".","81.3","",".",".","",".","",".","6.3",".",".","."
"LAW
528","Dept. Total","3556","3.570","34.6","19.5","19.6","1.3","0.6","0.3","0.0","23.5","",".",".","",".","",".","0.3",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","2.750",".",".","50.0","50.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","3","3.643","33.3","66.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","5","3.318","20.0","40.0","20.0","20.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","33","3.447","30.3","30.3","12.1","12.1","3.0",".",".","12.1","",".",".","",".","",".",".",".",".","."
"Graduate","","158","3.480","29.7","24.7","24.1","3.8","1.3",".",".","15.8","",".",".","",".","",".","0.6",".",".","."
"Prof Yr 1","","931","3.516","35.4","29.1","33.4","1.2","0.1","0.1",".","0.4","",".",".","",".","",".","0.2",".",".","."
"Prof Yr 2","","1195","3.620","37.8","17.3","14.9","1.3","0.9","0.2",".","26.9","",".",".","",".","",".","0.3",".",".","0.3"
"Prof Yr 3","","1201","3.591","31.9","13.6","13.7","0.8","0.6","0.7","0.1","38.2","",".",".","",".","",".","0.2",".","0.2","."
"Prof Yr 4","","33","4.000","27.3",".",".",".",".",".",".","69.7","",".",".","",".","",".","3.0",".",".","."
"Professionals","","3360","3.576","34.9","19.1","19.4","1.1","0.6","0.4","0.0","24.0","",".",".","",".","",".","0.2",".","0.1","0.1"
"","Dept. Total","3556","3.570","34.6","19.5","19.6","1.3","0.6","0.3","0.0","23.5","",".",".","",".","",".","0.3",".","0.1","0.1"
