"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Intro-Combinatorics","475","001","","21","2.857","28.6","9.5","19.0","9.5","23.8","9.5",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514","001","","11","2.909","36.4","18.2","9.1",".","27.3",".","9.1",".",".",".",".",".",".",".",".","."
"","521","001","","25","2.040","12.0","12.0","12.0","12.0","20.0","8.0","24.0",".",".",".",".",".",".",".",".","."
"","521","002","","22","2.881","36.4","13.6","13.6",".","13.6","13.6","4.5",".",".",".",".",".",".","4.5",".","."
"Advanced Calculus","","Course Total","","47","2.424","23.4","12.8","12.8","6.4","17.0","10.6","14.9",".",".",".",".",".",".","2.1",".","."
"Advanced Calculus","522","001","","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","6","2.417","16.7","16.7","33.3",".",".","16.7","16.7",".",".",".",".",".",".",".",".","."
"Modern Algebra","541","001","","38","2.553","23.7","15.8","7.9","15.8","18.4","5.3","13.2",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","16","3.281","31.3","31.3","18.8",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","25","2.729","20.0","16.0","20.0","12.0","16.0","4.0","8.0","4.0",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","21","2.975","23.8","28.6","14.3","14.3","4.8",".","9.5","4.8",".",".",".",".",".",".",".","."
"Elementary Number Theory","567","001","","25","3.160","32.0","20.0","20.0","20.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","16","3.469","31.3","31.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","13","3.636","46.2","15.4","23.1",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","20","2.806","30.0","10.0","5.0","15.0","15.0","15.0",".","5.0","5.0",".",".",".",".",".",".","."
"Intro-Error-Correctng Codes","641","001","","9","3.389","55.6","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Finite Difference Methods","712","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ordinary Differntl Equatns","716","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Complex Analysis","722","001","","20","3.278","20.0","30.0","30.0",".","10.0",".",".","5.0",".",".",".",".","5.0",".",".","."
"Secnd Crse in Real Analysis","725","001","","20","3.632","65.0","15.0",".","5.0","10.0",".",".",".",".",".",".",".",".","5.0",".","."
"Abstract Algebra","742","001","","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rings and Modules","746","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Topology","762","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","764","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Theory","771","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Model Theory","776","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Topics in Applied Math","801","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equatn","820","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Harmonic Analysis","828","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","832","001","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Topics-Numerical Analysis","837","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Analytic Number Theory","867","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Combinatorics","875","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
