"","990
034","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
037","5","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","45","",".",".",".",".",".","",".","",".","73.3",".",".",".","20.0","",".",".","6.7","."
"HORT
476","Dept. Total","282","3.416","39.7","17.0","16.0","4.6","5.7","",".","",".","12.1",".",".",".","3.5","",".","0.4","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.476","37.5","31.3","31.3",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","16","3.159","37.5","25.0","12.5",".","25.0","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","49","3.273","38.8","18.4","22.4","8.2","12.2","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","95","3.435","52.6","14.7","16.8","7.4","6.3","",".","",".",".",".",".",".","1.1","",".","1.1",".","."
"Undergraduates","","176","3.364","46.0","18.2","19.3","6.3","9.1","",".","",".",".",".",".",".","0.6","",".","0.6",".","."
"Special","","7","3.727","42.9","28.6",".",".",".","",".","",".",".",".",".",".",".","",".",".","28.6","."
"Graduate","","99","3.537","28.3","14.1","11.1","2.0",".","",".","",".","34.3",".",".",".","9.1","",".",".","1.0","."
"","Dept. Total","282","3.416","39.7","17.0","16.0","4.6","5.7","",".","",".","12.1",".",".",".","3.5","",".","0.4","1.1","."
