"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"455","003","","14","2.857","14.3","14.3","50.0",".","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"455","004","","12","2.091","8.3",".","16.7",".","41.7","25.0",".",".",".",".",".",".","8.3",".",".","."
"455","005","","14","2.692",".","7.1","57.1","7.1","14.3","7.1",".",".",".",".",".",".","7.1",".",".","."
"Lab in Behavioral Neurosci","Course Total","","62","2.733","12.9","12.9","37.1","3.2","17.7","12.9",".",".",".",".",".",".","3.2",".",".","."
"509
Abnormal Psychology","001","","376","2.837","22.1","12.0","20.7","12.8","26.3","2.9","1.9","1.1",".",".",".",".",".",".","0.3","."
"512
Bhv Pathology-Psychoses","001","","139","2.893","21.6","21.6","17.3","15.1","12.2","7.2","2.9","1.4",".",".",".",".",".",".","0.7","."
"517","001","","24","3.500","33.3","37.5","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"517","002","","27","3.704","63.0","14.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"517","003","","30","3.033","23.3","20.0","23.3","13.3","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","81","3.395","39.5","23.5","23.5","6.2","6.2","1.2",".",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","8","2.786","25.0","12.5",".",".","50.0",".",".","12.5",".",".",".",".",".",".",".","."
"530
Intro-Social Psychology","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"560
Child Psychology","001","","197","3.255","33.0","19.3","24.9","9.6","11.2",".","0.5","1.0",".",".",".",".",".","0.5",".","."
"587
Honors-Psych of Personality","001","","22","3.500","40.9","22.7","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"618","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","002","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"618","005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Topics","Course Total","","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"692","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 279 of 392",""
