"Topics in Global Security","601
001","","23","3.447","34.8","30.4","13.0",".",".",".","","4.3","17.4",".","",".",".","",".","",".","",".",".","."
"Topics:Culture-Age of Globlztn","603
001","","13","3.167","23.1","7.7","46.2","7.7","7.7",".","",".","7.7",".","",".",".","",".","",".","",".",".","."
"Topics-Intl Rel&Environment","606
001","","6","3.917","83.3","16.7",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","","42","3.412","38.1","21.4","21.4","2.4","2.4","",".","2.4","11.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","3.375","25.0","25.0","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","2.125","25.0",".",".","25.0","25.0","",".","25.0",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","31","3.597","38.7","25.8","19.4",".",".","",".",".","16.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","39","3.388","35.9","23.1","20.5","2.6","2.6","",".","2.6","12.8","",".",".","",".","",".","",".",".",".","."
"Special","","","2","3.500","50.0",".","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","42","3.412","38.1","21.4","21.4","2.4","2.4","",".","2.4","11.9","",".",".","",".","",".","",".",".",".","."
