"L&S","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1165","3.455","53.5","18.8","12.9","4.4","6.8","1.0","0.8","1.5","",".",".","",".","",".","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","103","2.974","26.2","14.6","23.3","13.6","17.5","2.9","1.9",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","204","3.153","34.3","15.7","24.0","8.8","13.7","2.0","1.5",".","",".",".","",".","",".",".",".",".","."
"Junior","","164","3.327","47.0","17.1","15.9","4.9","12.2","1.2","1.2",".","",".",".","",".","",".",".","0.6",".","."
"Senior","","201","3.406","42.8","24.9","16.9","5.5","6.0","0.5","1.0","2.5","",".",".","",".","",".",".",".",".","."
"Undergraduates","","672","3.242","38.7","18.6","19.8","7.6","11.6","1.5","1.3","0.7","",".",".","",".","",".",".","0.1",".","."
"Special","","27","3.514","55.6","18.5","14.8",".","3.7","3.7",".",".","",".",".","",".","",".",".",".","3.7","."
"Graduate","","466","3.852","74.7","19.1","2.8",".",".","0.2",".","2.8","",".",".","",".","",".","0.4",".",".","."
"","Dept. Total","1165","3.455","53.5","18.8","12.9","4.4","6.8","1.0","0.8","1.5","",".",".","",".","",".","0.2","0.1","0.1","."
