"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Biochemistry","502
001","80","3.000","13.8","13.8","48.8","6.3","17.5",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Vet Neuroanatomy&Neurophys","505
001","80","2.981","18.8","8.8","40.0","20.0","10.0","2.5",".","",".","",".","",".",".","",".","",".","",".",".","."
"Veterinary Physiology B","506
001","80","3.481","30.0","41.3","23.8","5.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Anat-Lrge Domestic Animals","550
001","80","3.162","21.3","20.0","31.3","15.0","12.5",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Fund of Vet Pharmacology","552
001","79","3.165","16.5","15.2","55.7","10.1","2.5",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Veterinary Toxicology","555
001","80","2.994","10.0","20.0","43.8","11.3","15.0",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Basic & Clin Vet Therapeutics","556
001","79","3.272","26.6","16.5","44.3","10.1","2.5",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","699
008","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
010","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO
934","Dept. Total","560","3.176","19.6","19.5","40.9","11.1","8.6","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","2","3.750","50.0","50.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","2.500",".",".",".","100.0",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","398","3.179","20.1","19.6","39.9","11.3","8.5","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","158","3.163","18.4","18.4","44.3","10.1","8.9",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","556","3.175","19.6","19.2","41.2","11.0","8.6","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","560","3.176","19.6","19.5","40.9","11.1","8.6","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
