"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","425","3.269","29.4","29.4","28.5","3.3","5.4","1.9","2.1",".",".",".",".",".",".",".",".","."
"","101
002","419","2.882","13.6","16.2","30.5","17.7","18.6","2.6","0.2","0.5",".",".",".",".",".",".",".","."
"","101
003","357","2.789","7.6","16.0","40.1","15.1","15.1","4.5","1.7",".",".",".",".",".",".",".",".","."
"","101
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1202","2.992","17.4","20.8","32.6","11.8","12.9","2.9","1.3","0.2",".",".",".",".",".",".",".","0.1"
"","102
001","352","2.742","15.1","14.2","23.3","20.2","19.0","5.1","2.8",".","0.3",".",".",".",".",".",".","."
"","002
102","405","2.720","13.3","16.8","23.0","19.8","18.0","4.9","4.0","0.2",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","757","2.730","14.1","15.6","23.1","19.9","18.5","5.0","3.4","0.1","0.1",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","33","3.576","36.4","42.4","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","8","3.071","12.5","12.5","50.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"","300
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","10","3.056","10.0","10.0","60.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","301
001","92","2.731","20.7","12.0","21.7","6.5","29.3","5.4","3.3","1.1",".",".",".",".",".",".",".","."
"","002
301","86","2.860","16.3","17.4","25.6","19.8","15.1","3.5","2.3",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","178","2.794","18.5","14.6","23.6","12.9","22.5","4.5","2.8","0.6",".",".",".",".",".",".",".","."
"","302
001","92","2.934","22.8","21.7","20.7","8.7","16.3","6.5","2.2","1.1",".",".",".",".",".",".",".","."
"","302
002","80","2.620","12.5","13.8","26.3","13.8","18.8","10.0","3.8","1.3",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","172","2.788","18.0","18.0","23.3","11.0","17.4","8.1","2.9","1.2",".",".",".",".",".",".",".","."
"The Real Estate Process","001
306","33","2.350",".","18.2","24.2","9.1","18.2","18.2","3.0","9.1",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","79","2.429","12.7","11.4","17.7","17.7","20.3","11.4","7.6",".",".",".",".",".",".","1.3",".","."
"Intmed Microecon-Math Trtmt","311
001","14","3.071","21.4","21.4","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Investments","Course Total","6","2.500","16.7",".",".","33.3","50.0",".",".",".",".",".",".",".",".",".",".","."
"Public Utilities","001
325","32","3.156","21.9","28.1","25.0","9.4","15.6",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","180","2.830","16.1","21.1","15.6","22.8","18.3","2.8","2.8",".","0.6",".",".",".",".",".",".","."
"Role of Govt-The Economy","352
001","67","3.153","20.9","20.9","32.8","7.5","9.0",".","1.5","7.5",".",".",".",".",".",".",".","."
"Issues-Comparative Economics","365
001","32","3.000","18.8","18.8","31.3","12.5","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"","390
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","Course Total","2","***","","","","","","","","","","","","","","","",""
"Introductory Econometrics","001
410","46","3.102","19.6","15.2","45.7","8.7","2.2","2.2","2.2","4.3",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","426
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","49","3.133","28.6","14.3","28.6","12.2","16.3",".",".",".",".",".",".",".",".",".",".","."
"Economic Approach-Human Behav","451
001","23","2.652","4.3","30.4","8.7","30.4","17.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"Collect Bargaing&Pub Policy","453
001","21","3.238","23.8","33.3","19.0","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","92","2.870","19.6","21.7","17.4","19.6","12.0","7.6","2.2",".",".",".",".",".",".",".",".","."
"Intl Industrial Firms&Orgs","467
002","52","3.058","23.1","17.3","26.9","17.3","13.5","1.9",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474
001","40","3.171","32.5","17.5","25.0","10.0",".","10.0",".","5.0",".",".",".",".",".",".",".","."
