"TERM : 1024","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2001-2002","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCI
Dept. Total
682","141","3.737","39.0","13.5","3.5",".","0.7","",".","",".","39.7","",".",".","",".","3.5","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","9","3.900","88.9","11.1",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","42","3.775","59.5","28.6","4.8",".",".","",".","",".","4.8","",".",".","",".","2.4","",".",".",".","."
"Undergraduates","52","3.790","63.5","26.9","3.8",".",".","",".","",".","3.8","",".",".","",".","1.9","",".",".",".","."
"Graduate","89","3.665","24.7","5.6","3.4",".","1.1","",".","",".","60.7","",".",".","",".","4.5","",".",".",".","."
"Dept. Total","141","3.737","39.0","13.5","3.5",".","0.7","",".","",".","39.7","",".",".","",".","3.5","",".",".",".","."
