"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Intro-Random Sig Anal&Stats","331
001","23","2.783","21.7","4.3","30.4","13.0","26.1",".","4.3",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","59","3.025","18.6","18.6","40.7","6.8","10.2","3.4","1.7",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","88","2.898","23.9","14.8","15.9","19.3","22.7","1.1","2.3",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","100","2.970","17.0","21.0","33.0","7.0","18.0","3.0","1.0",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","50","2.940","30.0","10.0","12.0","22.0","22.0","4.0",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","345
001","25","3.200","24.0","32.0","20.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","350
001","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
004","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","74","3.824","66.2","32.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
351","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
351","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
351","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","351
004","10","3.400","70.0","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","351
005","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","15","3.667","80.0",".",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","351
007","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
351","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","104","3.736","76.9","10.6","5.8","3.8","1.0",".","1.9",".",".",".",".",".",".",".",".","."
"","352
001","29","2.690","6.9","10.3","24.1","31.0","27.6",".",".",".",".",".",".",".",".",".",".","."
"","002
352","46","2.848","13.0","10.9","26.1","37.0","10.9","2.2",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","75","2.787","10.7","10.7","25.3","34.7","17.3","1.3",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","45","3.011","17.8","31.1","15.6","20.0","8.9","6.7",".",".",".",".",".",".",".",".",".","."
"","001
354","9","2.944","22.2","22.2","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","354
002","22","2.955","13.6","36.4","9.1","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"","354
003","12","2.875","16.7","25.0","25.0","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","43","2.930","16.3","30.2","16.3","20.9","7.0","7.0","2.3",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","355
002","16","3.067","18.8","18.8","31.3","18.8",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"","370
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
370","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","40","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","109","3.000","14.7","20.2","38.5","11.0","11.9","3.7",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","75","2.824","16.0","18.7","17.3","29.3","10.7","2.7","4.0",".",".",".",".",".","1.3",".",".","."
"","399
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","14","3.917","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","39","3.194","41.0",".","28.2",".","23.1",".",".",".",".",".",".",".",".",".","7.7","."
"","412
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 116 of 392",""
