"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Introduction to Education","Course Total","74","3.831","68.9","28.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","64","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
368","22","3.659","77.3","13.6",".",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","368
003","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","65","3.862","87.7","9.2",".",".","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","369
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","22","3.750","86.4","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","369
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","65","3.915","95.4","1.5","1.5",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"","001
370","21","3.595","61.9","23.8","4.8",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","370
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
370","28","3.804","67.9","25.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","22","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","94","3.787","71.3","21.3","5.3",".","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"","371
001","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
371","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","72","3.958","93.1","5.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","21","3.405","38.1","28.6","23.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","372
002","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","28","3.768","82.1","3.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","72","3.722","73.6","9.7","11.1","1.4","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","373
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","16","3.983","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","25","3.976","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
375","9","4.000","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","77.8","."
"Proseminar","Course Total","161","3.996","94.4","0.6","0.6",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"Teaching Science-Sec Schl","390
001","16","3.800","68.8","18.8",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
