"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","44","3.159","20.5","29.5","25.0","11.4","13.6",".",".",".",".",".",".",".",".",".",".","."
"233
Herbaceous Ornamntl Plnt II","001","","36","3.614","50.0","30.6","8.3","5.6","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.900","71.4",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"320
Environment of Hort Plants","001","","21","3.381","38.1","23.8","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","24","3.396","41.7","12.5","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"375","003","","8","2.714","12.5","12.5","12.5","12.5","37.5",".",".",".",".",".",".",".",".","12.5",".","."
"Special Topics","Course Total","","32","3.335","34.4","12.5","28.1","9.4","12.5",".",".",".",".",".",".",".",".","3.1",".","."
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"410
Undergraduate Seminar","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","13","3.269","7.7","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799
Pract-Horticulture Teaching","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Select Thry-Quant Traits","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Advanced Plant Breeding","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
