"","999
077","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","999
080","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","999
090","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
098","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","145","3.973","95.9","3.4","0.7",".",".",".",".",".",".",".","",".",".",".",".",".","."
"ART
168","Dept. Total","2100","3.656","62.7","22.4","8.4","2.0","1.2","0.5","1.3","0.5","0.2",".","",".","0.0","0.4","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","134","3.467","49.3","26.9","14.2","3.7","2.2","0.7","3.0",".",".",".","",".",".",".",".",".","."
"Sophomore","","346","3.480","50.3","28.3","10.7","4.0","2.3","1.4","2.3","0.3",".",".","",".",".",".","0.3",".","."
"Junior","","463","3.594","52.3","30.0","11.9","2.2","1.9","0.6","0.9",".",".",".","",".",".",".",".","0.2","."
"Senior","","680","3.689","61.2","24.3","8.2","1.8","0.9","0.3","0.9","1.3","0.3",".","",".",".","0.6",".",".","0.3"
"Undergraduates","","1623","3.599","55.3","27.0","10.3","2.5","1.6","0.7","1.4","0.6","0.1",".","",".",".","0.2","0.1","0.1","0.1"
"Special","","42","3.388","54.8","16.7","7.1",".",".",".","7.1","2.4","4.8",".","",".",".","4.8","2.4",".","."
"Graduate","","430","3.944","91.2","5.8","1.4",".",".",".","0.5",".",".",".","",".","0.2","0.5",".","0.5","."
"Prof Yr 3","","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","2100","3.656","62.7","22.4","8.4","2.0","1.2","0.5","1.3","0.5","0.2",".","",".","0.0","0.4","0.1","0.1","0.1"
