"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to East Asian Civ","222
001","","69","3.290","36.2","27.5","15.9","7.2","10.1","1.4","1.4",".","",".","",".",".","",".","",".","",".",".","."
"Humanities Topics in EAS","300
001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Senior Honors Thesis","682
030","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","","90","3.411","43.3","27.8","13.3","5.6","7.8","1.1","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","22","3.318","36.4","27.3","22.7",".","9.1","4.5",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","41","3.293","39.0","26.8","9.8","12.2","9.8",".","2.4","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","13","3.692","53.8","30.8","15.4",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","14","3.643","57.1","28.6","7.1",".","7.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","90","3.411","43.3","27.8","13.3","5.6","7.8","1.1","1.1","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","90","3.411","43.3","27.8","13.3","5.6","7.8","1.1","1.1","",".","",".",".","",".","",".","",".",".",".","."
