"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","408","2.801","18.1","15.4","26.2","10.0","19.4","7.6","2.0","1.2",".",".",".",".",".",".",".","."
"329","001","","42","3.476","45.2","23.8","11.9","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"329","002","","56","3.536","57.1","19.6","10.7","5.4","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"329","004","","32","3.516","50.0","18.8","15.6","6.3","6.3",".",".","3.1",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","130","3.512","51.5","20.8","12.3","10.0","3.1","1.5",".","0.8",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","9","3.222","44.4",".","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"630
Neuronal Mech-Sensatn & Memory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","","17","3.543","88.2",".",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.936","78.9","10.5",".",".",".",".",".","5.3",".",".",".","5.3",".",".",".","."
"700
Cytoskeletal Dynamics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Clinicl Anatomy & Radiology","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","78.6",".",".",".","21.4",".",".",".","."
