"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","36","2.625","13.9","11.1","33.3","13.9","13.9","5.6","8.3",".",".",".",".",".",".",".",".","."
"","211
002","","28","2.500","10.7","17.9","28.6","3.6","21.4","7.1","10.7",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","64","2.570","12.5","14.1","31.3","9.4","17.2","6.3","9.4",".",".",".",".",".",".",".",".","."
"","250
001","","13","2.577","23.1",".","30.8","7.7","23.1","7.7","7.7",".",".",".",".",".",".",".",".","."
"","002
250","","14","3.071","14.3","7.1","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","27","2.833","18.5","3.7","44.4","14.8","11.1","3.7","3.7",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","001
311","","48","2.885","16.7","20.8","25.0","6.3","27.1","4.2",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","001
320","","53","2.811","18.9","26.4","7.5","11.3","30.2","1.9","3.8",".",".",".",".",".",".",".",".","."
"","324
002","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","9","3.167","33.3","11.1","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","004
324","","11","3.182","27.3","18.2","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","10","3.100","30.0","40.0",".","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","40","3.263","30.0","32.5","17.5","10.0","7.5",".","2.5",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","001
326","","48","2.792","12.5","14.6","37.5","6.3","22.9","4.2","2.1",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","29","3.017","24.1","10.3","31.0","13.8","20.7",".",".",".",".",".",".",".",".",".",".","."
"","430
001","","35","3.057","25.7","14.3","34.3","8.6","14.3",".","2.9",".",".",".",".",".",".",".",".","."
"","430
002","","15","3.133","20.0","13.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","Course Total","","50","3.080","24.0","14.0","38.0","10.0","12.0",".","2.0",".",".",".",".",".",".",".",".","."
"Process Design","001
450","","65","2.962","26.2","13.8","18.5","15.4","23.1","3.1",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
002","","56","3.009","23.2","21.4","16.1","16.1","21.4","1.8",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535
001","","12","3.292","16.7","41.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","001
540","","43","2.869","16.3","7.0","30.2","32.6","7.0","4.7",".","2.3",".",".",".",".",".",".",".","."
"Processing-Electronic Matls","544
001","","7","3.250","42.9","14.3","14.3",".",".","14.3",".",".","14.3",".",".",".",".",".",".","."
"","562
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
562","","15","3.727","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","52","3.884","82.7","13.5","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Food Process Engineering","565
001","","25","3.022","20.0","12.0","28.0","16.0","16.0",".",".","8.0",".",".",".",".",".",".",".","."
"","599
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
