"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","704
001","","20","3.425","30.0","40.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","","15","3.433","26.7","46.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Managers","Course Total","","35","3.429","28.6","42.9","17.1","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Adv Statistical Methods I","706
001","","42","3.375","7.1","57.1","31.0",".",".",".",".",".",".",".",".",".",".","2.4","2.4","."
"","710
001","","43","3.767","53.5","46.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","40","3.638","37.5","52.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics & Social Responsblty","Course Total","","83","3.705","45.8","49.4","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","756
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","","24","3.417","33.3","20.8","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","46","3.654","17.4","4.3","4.3","2.2",".",".",".","71.7",".",".",".",".",".",".",".","."
"","765
004","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"Contemporary Topics","Course Total","","86","3.532","24.4","11.6","16.3","2.3",".",".",".","39.5",".",".",".","5.8",".",".",".","."
"","799
078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
