"","890
002","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","890
007","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","890
020","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","",""
"GREEK
428","Dept. Total","","34","3.532","44.1","14.7","20.6","2.9","2.9","",".","",".","11.8","",".",".","",".","",".","2.9",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.500","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","3","2.450",".",".","33.3","33.3","33.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","9","3.760","44.4","44.4",".",".",".","",".","",".",".","",".",".","",".","",".","11.1",".",".","."
"Undergraduates","","","14","3.407","35.7","28.6","14.3","7.1","7.1","",".","",".",".","",".",".","",".","",".","7.1",".",".","."
"Special","","","3","3.273","33.3",".","66.7",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","17","3.738","52.9","5.9","17.6",".",".","",".","",".","23.5","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","34","3.532","44.1","14.7","20.6","2.9","2.9","",".","",".","11.8","",".",".","",".","",".","2.9",".",".","."
