"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","201
001","","14","3.250","14.3","21.4","42.9","7.1",".",".",".","7.1","7.1",".",".",".",".",".",".","."
"","201
002","","19","3.861","73.7","15.8","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","201
003","","19","3.850","42.1","5.3","5.3",".",".",".",".","47.4",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","52","3.675","46.2","13.5","15.4","1.9",".",".",".","21.2","1.9",".",".",".",".",".",".","."
"","211
001","","15","3.714","46.7","40.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","211
002","","16","3.182","25.0","25.0","6.3",".","6.3",".","6.3","25.0","6.3",".",".",".",".",".",".","."
"","211
003","","19","3.462","47.4","5.3","5.3","5.3",".",".","5.3","26.3","5.3",".",".",".",".",".",".","."
"","211
004","","22","3.750","59.1","9.1","9.1","4.5",".",".",".","18.2",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","72","3.563","45.8","18.1","6.9","2.8","1.4",".","2.8","19.4","2.8",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","32","3.229","15.6","25.0","28.1","3.1",".",".","3.1","25.0",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Golf II","238
001","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Power Skating","244
001","","23","3.618","34.8","21.7","17.4",".",".",".",".","26.1",".",".",".",".",".",".",".","."
"","262
001","","22","3.700","22.7","18.2","4.5",".",".",".",".","45.5","9.1",".",".",".",".",".",".","."
"","262
002","","18","3.611","16.7","27.8","5.6",".",".",".",".","44.4",".",".",".",".",".","5.6",".","."
"","262
003","","19","3.269","31.6","10.5","15.8","5.3",".",".","5.3","26.3","5.3",".",".",".",".",".",".","."
"Tennis II","Course Total","","59","3.500","23.7","18.6","8.5","1.7",".",".","1.7","39.0","5.1",".",".",".",".","1.7",".","."
"Racquetball II","001
263","","14","3.700","42.9","14.3","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Basketball II","270
001","","20","3.125","25.0","25.0","15.0","5.0",".","5.0","5.0","20.0",".",".",".",".",".",".",".","."
"Soccer II","273
001","","26","3.773","57.7","15.4","11.5",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","275
001","","30","3.675","36.7","20.0","6.7","3.3",".",".",".","33.3",".",".",".",".",".",".",".","."
"","002
275","","30","3.615","43.3","26.7","13.3",".","3.3",".",".","13.3",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","60","3.641","40.0","23.3","10.0","1.7","1.7",".",".","23.3",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","33","3.150","18.2","12.1","42.4","15.2","3.0",".",".","9.1",".",".",".",".",".",".",".","."
"Bicycling","295
001","","21","3.441","47.6","14.3","9.5",".","4.8",".","4.8","9.5",".",".",".",".",".","9.5",".","."
"","300
001","","21","3.692","23.8","38.1",".",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"","300
002","","17","3.767","64.7","11.8","5.9","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","Course Total","","38","3.732","42.1","26.3","2.6","2.6",".",".",".","26.3",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301
001","","19","3.656","42.1","26.3","15.8",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303
001","","29","3.438","20.7","10.3","20.7","3.4",".",".",".","41.4","3.4",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","20","3.265","5.0","35.0","45.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","17","3.731","35.3","41.2",".",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"Lifeguard Training Renewal","313
001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Martial Arts","318
001","","17","3.688","41.2","47.1","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Triathlon Training","330
001","","36","3.567","8.3","30.6","2.8",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"","362
001","","16","3.708","37.5","31.3","6.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","362
002","","24","3.556","37.5","33.3",".",".",".",".","4.2","25.0",".",".",".",".",".",".",".","."
"Tennis III","Course Total","","40","3.617","37.5","32.5","2.5",".",".",".","2.5","25.0",".",".",".",".",".",".",".","."
