"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","9161","3.195","34.2","15.8","17.2","7.4","9.5","1.9","0.9","9.0","0.1","1.0",".","2.4","0.2","0.2","0.3","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","868","3.021","31.6","17.3","18.4","11.3","15.6","3.1","1.3",".",".","0.9",".",".",".","0.5",".","0.1"
"Sophomore","","1339","3.083","31.1","18.5","19.3","11.4","13.4","3.0","1.1","0.2",".","1.7",".",".",".",".","0.1","0.1"
"Junior","","1633","3.072","31.2","17.0","21.9","10.3","14.4","3.0","1.3","0.2",".","0.5",".",".",".","0.1","0.2","."
"Senior","","2954","3.208","36.2","18.2","20.9","8.1","10.4","1.9","1.0","1.3","0.0","1.0",".","0.0","0.4","0.2","0.1","0.1"
"Undergraduates","","6794","3.124","33.4","17.9","20.5","9.7","12.6","2.5","1.1","0.6","0.0","1.0",".","0.0","0.2","0.2","0.1","0.1"
"Special","","141","3.413","39.7","17.0","12.1","2.8","5.0","1.4","1.4","11.3",".",".",".",".","0.7",".","8.5","."
"Graduate","","2222","3.694","36.3","9.3","7.1","0.6","0.3","0.0","0.0","34.6","0.2","1.1",".","9.8","0.4","0.1","0.2","."
"Prof Yr 1","","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","5","3.423","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","9","3.520","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","College Total","9166","3.195","34.2","15.8","17.2","7.4","9.5","1.9","0.9","9.0","0.1","1.0",".","2.4","0.2","0.2","0.3","0.0"
