"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
001","","23","3.826","78.3","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","","21","3.900","81.0","9.5","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","116
003","","21","3.474","28.6","28.6","33.3",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"First Aid","Course Total","","65","3.742","63.1","16.9","13.8","1.5",".",".",".","4.6",".",".",".",".",".",".",".","."
"Intro to Athletic Training","001
127","","54","3.472","33.3","37.0","18.5","7.4","1.9",".",".",".",".",".",".",".",".","1.9",".","."
"","197
001","","22","3.341","13.6","45.5","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","197
002","","24","3.458","12.5","70.8","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","46","3.402","13.0","58.7","23.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","25","3.928","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","22","3.455","31.8","36.4","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","15","3.567","33.3","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","13","3.308","15.4","30.8","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","28","3.446","25.0","42.9","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317
001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318
001","","32","3.266","9.4","43.8","37.5","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","58","3.612","44.8","36.2","15.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","22","3.841","81.8","4.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","10","3.450","60.0","10.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","32","3.719","75.0","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specialized Tchg Experience","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","48","3.438","37.5","31.3","20.8","6.3","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Intro to Motor Development","360
001","","39","3.679","53.8","30.8","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","24","3.208","12.5","41.7","25.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.952","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","001
457","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","14","3.679","64.3","7.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","001
479","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","499
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508
001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Clinic Exercise Test&Train","523
001","","41","3.707","53.7","34.1","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
