"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"132
Earth Water:Nat Sci&Hum Use","001","","29","3.315","41.4","24.1","10.3","6.9","3.4","3.4","3.4","3.4",".",".",".",".",".","3.4",".","."
"299
Independent Study","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"301
General Soil Science","001","","42","2.905","9.5","23.8","28.6","19.0","16.7","2.4",".",".",".",".",".",".",".",".",".","."
"315
Soil Sci-Land Use Planning","001","","28","3.143","32.1","14.3","21.4","21.4","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"321
Soils and Environmental Chem","001","","12","3.375","33.3","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"322
Phys Princ-Soil & Water Mgt","001","","19","3.472","47.4","10.5","26.3","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"326
Plant Nutrition Management","001","","15","3.267","33.3","13.3","40.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"428
Senior Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Assessment-Environ Impact","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Soil Chemistry","001","","15","3.571","40.0","33.3","13.3","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","25","3.875","12.0","4.0",".",".",".",".",".","80.0",".",".",".",".","4.0",".",".","."
"799
Pract-Soil Science Teaching","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","30","",".",".",".",".",".",".",".","56.7",".",".",".","36.7","3.3",".","3.3","."
