"","999
054","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
061","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","999
067","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","9","4.000","88.9",".",".",".",".",".",".",".",".",".","",".","11.1",".",".",".","."
"CIV ENGR
240","Dept. Total","1293","3.401","38.1","16.8","18.4","5.4","5.0","0.4","0.2","11.1","0.1",".","",".","4.0","0.5",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","2.250",".",".","33.3",".","66.7",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","49","2.982","24.5","16.3","30.6","12.2","12.2","4.1",".",".",".",".","",".",".",".",".",".","."
"Junior","","144","3.207","30.6","21.5","27.1","9.7","9.7",".","1.4",".",".",".","",".",".",".",".",".","."
"Senior","","590","3.359","39.0","21.7","23.6","8.0","6.6","0.5",".","0.5",".",".","",".",".","0.2",".",".","."
"Undergraduates","","786","3.307","36.4","21.2","24.7","8.5","7.8","0.6","0.3","0.4",".",".","",".",".","0.1",".",".","."
"Special","","31","3.655","48.4","16.1","22.6",".","3.2",".",".","9.7",".",".","",".",".",".",".",".","."
"Graduate","","476","3.716","40.1","9.5","7.8","0.6","0.6",".",".","28.8","0.2",".","",".","10.9","1.3",".","0.2","."
"","Dept. Total","1293","3.401","38.1","16.8","18.4","5.4","5.0","0.4","0.2","11.1","0.1",".","",".","4.0","0.5",".","0.1","."
