"REAL ESTATE & URBAN LAND E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"306
001
The Real Estate Process","168","3.176","20.2","33.9","20.8","10.7","7.7","1.8","1.2","2.4","1.2",".",".","",".",".",".",".","."
"312
001
Real Estate Law","47","3.120","21.3","8.5","46.8","14.9","6.4",".",".","2.1",".",".",".","",".",".",".",".","."
"365
001
Contemporary Topics","5","***","","","","","","","","","",".",".","",".",".",".",".","."
"399
015","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"399
097","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
Rdg & Rsch-Urban Land Econ","2","***","","","","","","","","","","","","","","","","",""
"001
410
Real Estate Finance","43","3.200","16.3","46.5","9.3","9.3","9.3",".","2.3","7.0",".",".",".","",".",".",".",".","."
"415
001","43","3.442","34.9","27.9","30.2","4.7","2.3",".",".",".",".",".",".","",".",".",".",".","."
"415
002","47","3.402","27.7","38.3","23.4","6.4",".","2.1",".","2.1",".",".",".","",".",".",".",".","."
"Course Total
Valuation of Real Estate","90","3.421","31.1","33.3","26.7","5.6","1.1","1.1",".","1.1",".",".","",".",".",".",".",".","."
"430
001
International Real Estate","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".","",".",".",".",".","."
"001
611","49","3.796","67.3","28.6",".","4.1",".",".",".",".",".",".",".","",".",".",".",".","."
"611
002","44","3.534","47.7","38.6","6.8",".",".","6.8",".",".",".",".",".","",".",".",".",".","."
"Course Total
Residentl Property Devlpmnt","93","3.672","58.1","33.3","3.2","2.2",".","3.2",".",".",".",".","",".",".",".",".",".","."
"631
001
Cmptr Appl-Real Estate Anal","22","3.925","77.3","13.6",".",".",".",".",".","9.1",".",".",".","",".",".",".",".","."
"641
001
Housing Economics & Policy","11","3.500","36.4","36.4","9.1",".","9.1",".",".","9.1",".",".",".","",".",".",".",".","."
"706
001
The Real Estate Process","21","3.619","52.4","33.3","4.8","4.8","4.8",".",".",".",".",".",".","",".",".",".",".","."
"712
001
Real Estate Law","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"720
001
Urban Economics","31","3.500","29.0","41.9","29.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"730
001
International Real Estate","4","***","","","","","","","","","",".",".","",".",".",".",".","."
"740
001
Real Estate Equity Investmt","21","3.600","47.6","23.8","19.0","4.8",".",".",".",".",".",".",".","",".","4.8",".",".","."
"765
002
Contemporary Topics","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"870
001
Adv Real Est Finance Theory","21","3.474","28.6","42.9","9.5","4.8","4.8",".",".","4.8",".",".",".","",".",".",".",".","4.8"
"978
001
Smr-Urban Land Econ PhD","4","***","","","","","","","","","",".",".","",".",".",".",".","."
"990
083
PhD Thesis-Real Estate","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"REAL EST
Dept. Total
239","613","3.417","35.6","30.7","17.9","6.4","3.9","1.1","0.5","3.1","0.3",".","",".","0.2","0.2",".",".","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Junior","79","3.177","15.2","36.7","29.1","8.9","8.9","1.3",".",".",".",".","",".",".",".",".",".","."
"Senior","369","3.390","35.8","29.3","17.3","7.9","3.8","1.4","0.8","3.5","0.3",".","",".",".",".",".",".","."
"Undergraduates","449","3.353","32.3","30.5","19.4","8.0","4.7","1.3","0.7","2.9","0.2",".","",".",".",".",".",".","."
"Special","7","3.667","28.6","57.1",".",".",".",".",".",".","14.3",".","",".",".",".",".",".","."
"Graduate","149","3.607","45.6","29.5","15.4","1.3","1.3","0.7",".","4.0",".",".","",".","0.7","0.7",".",".","0.7"
"Prof Yr 1","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","3","3.000",".","66.7",".",".","33.3",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","4","3.500","50.0","25.0",".","25.0",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","8","3.375","37.5","37.5",".","12.5","12.5",".",".",".",".",".","",".",".",".",".",".","."
"Dept. Total","613","3.417","35.6","30.7","17.9","6.4","3.9","1.1","0.5","3.1","0.3",".","",".","0.2","0.2",".",".","0.2"
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 64 of 392"
