"","999
044","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
062","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
064","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","5","***","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","2027","3.192","32.9","18.9","19.5","8.2","11.6","2.1","1.5","4.0","0.2",".","",".","0.5","0.1","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","401","2.898","23.9","16.0","21.4","10.2","21.9","3.0","3.0","0.2",".",".","",".",".",".",".","0.2","."
"Sophomore","","557","3.187","35.4","17.2","20.3","10.4","11.3","3.1","1.1","0.9","0.4",".","",".",".",".",".",".","."
"Junior","","452","3.309","36.7","22.8","21.5","6.0","9.5","1.1","1.1","0.9","0.2",".","",".",".",".",".","0.2","."
"Senior","","468","3.235","30.8","23.1","19.4","8.5","8.5","1.5","1.5","6.0",".",".","",".",".",".","0.4","0.2","."
"Undergraduates","","1878","3.166","32.1","19.8","20.6","8.8","12.5","2.2","1.6","2.0","0.2",".","",".",".",".","0.1","0.2","."
"Special","","10","2.500","30.0",".",".","10.0","10.0","10.0","10.0","30.0",".",".","",".",".",".",".",".","."
"Graduate","","139","3.818","43.9","9.4","6.5",".",".",".",".","29.5","0.7",".","",".","7.2","2.2",".","0.7","."
"","Dept. Total","2027","3.192","32.9","18.9","19.5","8.2","11.6","2.1","1.5","4.0","0.2",".","",".","0.5","0.1","0.1","0.2","."
