"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","268
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
101","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
102","10","3.400","60.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","272
103","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","272
104","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","37","3.446","43.2","27.0","21.6","2.7","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309
001","47","4.000","97.9",".",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
004","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","346
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","9","3.750","66.7",".","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","361
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"","40
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
002","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","93","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","111","3.973","99.1",".",".",".",".","0.9",".",".",".",".",".",".",".",".",".","."
"","41
002","127","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
003","102","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bands","Course Total","340","3.991","99.7",".",".",".",".","0.3",".",".",".",".",".",".",".",".",".","."
"Survey Music-Renaissance","412
001","19","3.500","52.6","26.3","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","19","3.263","36.8","15.8","36.8","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"Music in the United States","419
001","7","3.143","14.3","28.6","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","242","3.983","95.5","3.3",".",".",".",".",".",".",".",".",".",".",".","1.2",".","."
