"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","171","2.756","9.4","16.4","25.7","28.7","14.0","2.3","2.9","0.6",".",".",".",".",".",".",".","."
"","201
002","99","2.758","12.1","20.2","15.2","28.3","19.2","2.0","3.0",".",".",".",".",".",".",".",".","."
"Statics","Course Total","270","2.757","10.4","17.8","21.9","28.5","15.9","2.2","3.0","0.4",".",".",".",".",".",".",".","."
"","202
001","19","2.895","10.5","15.8","36.8","15.8","21.1",".",".",".",".",".",".",".",".",".",".","."
"","202
002","24","2.979","25.0","8.3","25.0","20.8","20.8",".",".",".",".",".",".",".",".",".",".","."
"","003
202","23","3.000","21.7","26.1","17.4","8.7","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","202
004","17","2.824","17.6","17.6","29.4","17.6","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","202
005","17","2.588","5.9","11.8","11.8","58.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","100","2.875","17.0","16.0","24.0","23.0","16.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","214
001","9","2.833","11.1","11.1","55.6",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","001
303","15","2.833","13.3","33.3",".","13.3","40.0",".",".",".",".",".",".",".",".",".",".","."
"","303
002","20","2.700","10.0","15.0","30.0","15.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","303
003","18","2.278",".","16.7","22.2","16.7","22.2","16.7","5.6",".",".",".",".",".",".",".",".","."
"","303
004","13","2.231","7.7","7.7","38.5","7.7","7.7","15.4","15.4",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","66","2.523","7.6","18.2","22.7","13.6","22.7","10.6","4.5",".",".",".",".",".",".",".",".","."
"","304
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","7","2.357","14.3",".","28.6","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".","."
"","001
307","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
307","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
005","8","2.938",".","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","8","3.125","12.5","12.5","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","45","3.100","13.3","22.2","40.0","20.0","4.4",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","25","2.826","16.0","12.0","16.0","28.0","16.0","4.0",".","8.0",".",".",".",".",".",".",".","."
"Honors in Research","489
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","14","3.808","64.3","21.4","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","14","3.143","7.1","21.4","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","44","3.159","27.3","25.0","25.0","2.3","18.2","2.3",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","18","3.250","22.2","22.2","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","27","2.778",".","18.5","51.9","11.1","11.1","7.4",".",".",".",".",".",".",".",".",".","."
"","601
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","20","2.625",".","10.0","55.0","15.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
