"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"903
Smr in Math Education","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Seminar in Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"941","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"941","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","5","***","","","","","","","","","","","","","","","",""
"95
Fundamental Math Skills","001","","18","2.611","22.2","5.6","22.2","5.6","27.8","16.7",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Topology","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Seminar-Foundations of Math","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","152","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991
Smr-Applied Mathematics","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MATH
600","Dept. Total","","5751","2.740","22.1","12.2","22.0","10.8","18.3","7.3","4.6","0.8","0.0","1.3","0.1",".","0.1","0.3",".","0.1"
