"","990
186","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
200","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
201","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","74","",".",".",".",".","",".","",".","",".","74.3","",".",".","",".","24.3",".",".","1.4","."
"PATH
704","Dept. Total","478","3.951","44.6","1.7","1.9","0.2","",".","",".","",".","33.3","",".","14.4","",".","3.8",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","40","3.949","95.0","2.5",".","2.5","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","99","3.995","99.0","1.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","150","3.983","98.0","1.3",".","0.7","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","4","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","261","3.836","46.0","2.3","3.4",".","",".","",".","",".","18.4","",".","23.4","",".","5.7","0.4",".","0.4","."
"Prof Yr 3","","54","#Num!","3.7",".",".",".","",".","",".","",".","75.9","",".","14.8","",".","5.6",".",".",".","."
"Prof Yr 4","","71","4.000","1.4",".",".",".","",".","",".","",".","98.6","",".",".","",".",".",".",".",".","."
"Professionals","","125","4.000","2.4",".",".",".","",".","",".","",".","88.8","",".","6.4","",".","2.4",".",".",".","."
"","Dept. Total","540","3.951","50.7","1.5","1.7","0.2","",".","",".","",".","29.4","",".","12.8","",".","3.3","0.2",".","0.2","."
