"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"NEURSURG","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
