"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"799","128","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","134","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","140","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","142","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","144","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","148","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","153","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","155","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","156","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","157","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","161","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","162","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","163","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","164","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","165","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","166","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","170","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","173","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","174","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","181","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","182","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","187","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","190","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","191","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","193","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","194","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","196","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","197","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","150","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"838
Topics in Computing","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839","001","","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"839","002","","25","3.420","24.0","44.0","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"839","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839","004","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839","005","","24","3.604","62.5","20.8","12.5",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Core Topics in Computing","Course Total","","114","3.772","74.6","14.0","8.8",".","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"841
Computational Cognitive Sci","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Topics in Theortcl Comp Sci","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
