"","990
025","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
075","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
078","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","20","",".",".",".",".","",".",".",".","95.0","",".",".","",".","",".",".",".","5.0","."
"POP HLTH
810","Dept. Total","533","3.807","67.5","14.1","5.6","1.3","",".","0.2","0.4","10.3","",".",".","",".","",".","0.2","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","61","3.836","75.4","16.4","8.2",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","133","3.812","78.9","12.0","6.0","2.3","",".",".","0.8",".","",".",".","",".","",".",".",".",".","."
"Senior","","143","3.771","71.3","18.9","5.6","1.4","",".","0.7","0.7","0.7","",".",".","",".","",".",".","0.7",".","."
"Undergraduates","","338","3.798","74.9","16.0","6.2","1.5","",".","0.3","0.6","0.3","",".",".","",".","",".",".","0.3",".","."
"Special","","8","3.700","50.0",".",".","12.5","",".",".",".","37.5","",".",".","",".","",".",".",".",".","."
"Graduate","","134","3.831","64.2","14.2","5.2","0.7","",".",".",".","14.2","",".",".","",".","",".","0.7",".","0.7","."
"Prof Yr 3","","16","4.000","37.5",".",".",".","",".",".",".","62.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","37","3.811","29.7","5.4","5.4",".","",".",".",".","59.5","",".",".","",".","",".",".",".",".","."
"Professionals","","53","3.865","32.1","3.8","3.8",".","",".",".",".","60.4","",".",".","",".","",".",".",".",".","."
"","Dept. Total","533","3.807","67.5","14.1","5.6","1.3","",".","0.2","0.4","10.3","",".",".","",".","",".","0.2","0.2","0.2","."
