"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"How to Think with Statistics","215
001","35","3.257","34.3","22.9","14.3","17.1","11.4",".",".",".",".",".",".",".",".",".",".","."
"","301
001","102","3.858","77.5","16.7","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","107","3.864","86.0","5.6","5.6","0.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","301
003","98","3.791","76.5","15.3","4.1","2.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","301
004","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"How People Learn","Course Total","317","3.839","80.1","12.3","5.4","0.9","0.9",".","0.3",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","109","3.610","53.2","26.6","15.6","1.8","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","112","3.357","37.5","25.0","24.1","7.1","1.8","4.5",".",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","54","3.566","53.7","20.4","13.0","5.6","5.6",".",".","1.9",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","85","3.529","57.6","20.0","5.9","12.9","1.2",".","2.4",".",".",".",".",".",".",".",".","."
"","470
025","10","3.909","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
077","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","32","3.975","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","30","3.833","90.0","6.7",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","506
002","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
006","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","506
007","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","133","3.925","93.2","4.5","0.8",".","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Embodied Cognition & Education","509
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning Analytics Theory&Prac","525
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Ethnography","551
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Analysis","642
001","19","3.917","89.5",".",".","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"Instruct Coaching Practicum","643
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone","695
001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","699
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
003","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","711
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 102 of 486",""
