"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101
Beginning Class Piano","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","32","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"108
Jazz Class Piano","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","101","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","8","3.955","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","103","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","104","","7","3.900","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","105","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","30","3.965","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"146","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","032","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"146","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"146","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"146","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"147
First Year Composition","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"148
First Year Composition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","4","***","","","","","","","","","","","","","","","",""
"201","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","018","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"205","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 317 of 486",""
