"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"Understanding Dance","100
001","99","3.711","76.8","7.1","5.1","2.0","2.0",".","3.0",".",".",".",".",".","1.0",".","3.0","."
"","101
001","32","3.850","71.9","15.6","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","101
002","39","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Dance I","Course Total","139","3.942","89.2","7.2","2.2",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Social Dance II","102
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","103
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
001","28","3.875","82.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","Course Total","53","3.915","88.7","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","106
001","18","3.824","77.8",".","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Contemporary Dance I","107
001","28","3.944","85.7","10.7",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Contemporary Dance II","108
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
001","17","3.618","76.5","5.9","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","110
003","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","24","3.688","75.0","4.2","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","110
006","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
007","27","3.926","92.6",".","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
009","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","41","3.951","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","11","3.727","90.9",".",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","110
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
015","27","3.962","88.9","7.4",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","110
016","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
017","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","327","3.921","92.0","3.7","2.8",".","0.6","0.3","0.3",".",".",".",".",".","0.3",".",".","."
"Cont Dance Technique&Theory II","112
001","24","3.957","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","115
001","18","3.639","77.8","5.6","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"African Dance","118
001","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","31","3.967","93.5",".","3.2",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Somatic Theory and Practices","131
001","30","3.883","86.7","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","132
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
002","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
004","25","3.920","92.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 108 of 486",""
