"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","140
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Success in Engr Academics","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Practicum","170
001","190","3.937","89.5","8.4","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","Course Total","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","23","3.457","30.4","43.5","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","397
002","26","3.385","38.5","38.5","7.7","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","397
003","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","22","3.773","63.6","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","18","3.441","16.7","50.0","27.8",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","397
007","21","3.524","33.3","47.6","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","25","3.380","28.0","24.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","21","3.675","47.6","33.3","14.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","397
010","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","18","3.306","16.7","38.9","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","20","3.250","15.0","45.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","397
015","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","22","3.682","63.6","27.3","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","397
017","21","3.714","85.7","4.8",".","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","397
018","22","3.773","68.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
019","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
020","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
021","26","3.673","46.2","42.3","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","452","3.649","52.4","32.3","10.6","2.7","0.9","0.2","0.4",".",".",".",".",".","0.2","0.2",".","."
"","601
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
003","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","18","3.909","94.4",".",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Capstone II","941
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
