"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"ANESTHES","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","70","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
