"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Medical Entomology","371
001","","11","3.779","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","","10","3.813","60.0","10.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","400
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
00A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","Course Total","","32","3.863","81.3","6.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","","37","3.333","48.6","8.1","18.9","8.1","10.8","2.7",".","2.7",".",".",".",".",".",".",".","."
"Genetics of Human History","415
001","","73","3.861","83.6","11.0","1.4",".","1.4","1.4",".","1.4",".",".",".",".",".",".",".","."
"Behavioral Ecology","425
001","","36","2.653","16.7","13.9","22.2","11.1","22.2","11.1","2.8",".",".",".",".",".",".",".",".","."
"General Ecology","460
001","","7","3.286","42.9",".","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","","50","2.990","24.0","12.0","28.0","10.0","18.0","4.0",".","2.0",".",".",".",".","2.0",".",".","."
"Undergrad Neurobiology Seminar","500
001","","96","3.885","94.8","1.0",".","1.0","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","","71","3.623","70.4","2.8","15.5",".","7.0",".","1.4","2.8",".",".",".",".",".",".",".","."
"","511
001","","17","3.471","41.2","29.4","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","18","3.667","50.0","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","35","3.571","45.7","34.3","11.4","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","520
001","","42","3.539","38.1","33.3","11.9","2.4","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"","521
001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","521
003","","10","3.556","60.0",".","20.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","521
004","","17","3.353","52.9","17.6","5.9","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","44","3.512","59.1","13.6","9.1","4.5","9.1","2.3",".","2.3",".",".",".",".",".",".",".","."
"Comparatv&Evolutionry Physiol","611
001","","47","3.227","27.7","14.9","38.3","6.4","2.1","4.3",".",".",".",".",".",".","6.4",".",".","."
"","612
001","","22","3.905","81.8","9.1","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","612
002","","10","3.600","60.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Physiology Lab","Course Total","","32","3.806","75.0","6.3","15.6",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Molecular Ecology","624
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurodevelopmental Disease","655
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","682
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
126","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
140","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 371 of 486",""
