"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","","217","3.470","55.3","20.3","10.1","4.6","3.2","3.2","2.3",".",".",".",".",".","0.9",".",".","."
"","213
002","","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","213
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociolinguistics","Course Total","","21","3.881","85.7","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Linguistics","303
001","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Morphology","322
001","","35","3.235","34.3","37.1","5.7","2.9","11.4",".","5.7","2.9",".",".",".",".",".",".",".","."
"Syntax","330
001","","22","3.425","54.5","4.5","18.2",".","9.1","4.5",".","9.1",".",".",".",".",".",".",".","."
"American Sign Language 1","351
001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
003","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
004","","20","3.675","80.0",".","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"American Sign Language 2","Course Total","","76","3.875","90.8",".","5.3","1.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","373
002","","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","Course Total","","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","482
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","482
013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","482
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","482
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","Course Total","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonological Theories","510
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syntactic Theories","530
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Structure of a Language","571
001","","12","3.545","75.0",".","8.3",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"Honors Seminar-Sr Thesis","681
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","682
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Linguistics","690
001","","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","977
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","999
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
