"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","209
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","209
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Media and Literacy","Course Total","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
003","23","3.696","87.0",".","4.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","Course Total","69","3.841","84.1","11.6","1.4",".","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277
001","192","3.862","83.9","10.4","1.0","1.0","1.0","0.5","0.5","0.5",".",".",".",".","1.0",".",".","."
"Principles of Music Education","300
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","318
001","65","3.931","89.2","7.7","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","318
002","51","3.922","92.2","3.9","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Teaching Reading and Writing","Course Total","116","3.927","90.5","6.0","2.6",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","320
001","33","3.742","57.6","33.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","35","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","320
003","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","37","3.689","62.2","18.9","16.2",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 2","Course Total","118","3.778","68.6","18.6","11.0",".","0.8",".",".",".",".",".",".",".","0.8",".",".","."
"Teaching Artist Practicum","329
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistics for Teachers","338
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339
001","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340
002","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340
003","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340
004","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340
005","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elementary Educ Practicum I","Course Total","117","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","357
001","20","3.750","90.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","357
002","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","20","3.947","90.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","357
004","21","3.571","71.4","9.5","4.8","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"Game Design I","Course Total","78","3.779","84.6","3.8","3.8","3.8",".",".","2.6",".",".",".",".",".","1.3",".",".","."
"Tching Math in Inclusive Set","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internationalizing Ed Knowldg","366
001","14","3.917","78.6",".","7.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Elementary Educ. Practicum II","367
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","372
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","47","3.979","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
