"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","33","3.955","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
Intro to Mech Eng","001","","170","3.738","72.4","16.5","5.9","1.8","1.8","1.2","0.6",".",".",".",".",".",".",".",".","."
"231
Geometric Modeling","001","","248","3.935","92.3","4.4","2.0","0.4",".",".","0.4",".",".",".",".",".","0.4",".",".","."
"291
Undergrad Mech Engr Project","050","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","100","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","004","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","007","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","014","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","72","3.875","80.6","13.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Manufacturing: Polymers","001","","137","3.401","24.8","35.8","35.0","3.6","0.7",".",".",".",".",".",".",".",".",".",".","."
"311
Manufac: Metals and Automation","001","","160","3.906","86.9","7.5","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"331
Computer-Aided Engineering","001","","134","3.261","29.1","25.4","26.1","14.9","2.2","0.7","1.5",".",".",".",".",".",".",".",".","."
"340","001","","67","3.239","31.3","23.9","17.9","17.9","7.5","1.5",".",".",".",".",".",".",".",".",".","."
"340","002","","62","3.185","40.3","6.5","29.0","8.1","12.9","1.6","1.6",".",".",".",".",".",".",".",".","."
"Dynamic Systems","Course Total","","129","3.213","35.7","15.5","23.3","13.2","10.1","1.6","0.8",".",".",".",".",".",".",".",".","."
"342
Design of Machine Elements","001","","167","3.320","37.1","28.1","15.6","9.6","5.4","3.6","0.6",".",".",".",".",".",".",".",".","."
"351
Interdis Exper Dsgn Projects I","001","","62","3.960","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"352
Interdis Expr Dsgn Projects II","001","","194","3.920","89.7","7.2","1.0","1.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"361","001","","107","3.332","54.2","12.1","11.2","7.5","8.4","4.7","1.9",".",".",".",".",".",".",".",".","."
"361","002","","122","3.369","50.8","14.8","15.6","4.9","9.8","3.3","0.8",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","","229","3.352","52.4","13.5","13.5","6.1","9.2","3.9","1.3",".",".",".",".",".",".",".",".","."
"363","001","","90","3.039","20.0","18.9","31.1","15.6","10.0","2.2","1.1",".",".",".",".",".","1.1",".",".","."
