"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","12","3.800","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","16","3.842","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","59","3.850","30.5","10.2",".",".",".",".",".","47.5",".",".",".","11.9",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".",".",".",".",".",".","."
