"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","40","3.650","57.5","30.0","10.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","202
001","184","3.313","39.7","23.9","13.6","9.8","5.4","3.8","1.1","2.2",".",".",".",".",".","0.5",".","."
"","202
002","275","3.275","42.9","21.1","14.9","8.0","4.4","6.2","1.8",".",".",".",".",".","0.4",".","0.4","."
"","202
003","225","3.276","37.8","23.6","16.9","9.3","5.3","3.6","1.8",".",".",".",".",".","1.3",".","0.4","."
"","202
004","24","3.896","91.7",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","202
005","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","720","3.324","42.9","21.7","14.6","8.6","4.7","4.4","1.5","0.6",".",".",".",".","0.6","0.1","0.3","."
"","210
001","50","2.740","16.0","20.0","18.0","16.0","22.0","2.0","6.0",".",".",".",".",".",".",".",".","."
"","210
002","58","2.561","10.3","15.5","17.2","15.5","31.0","3.4","5.2",".",".",".",".",".",".","1.7",".","."
"","210
003","63","3.381","54.0","6.3","15.9","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"","210
004","68","3.250","44.1","10.3","17.6","10.3","16.2","1.5",".",".",".",".",".",".",".",".",".","."
"","210
005","93","3.245","50.5","12.9","10.8","9.7","6.5","4.3","4.3",".",".",".",".",".","1.1",".",".","."
"Basic Stats for Psychology","Course Total","332","3.077","37.7","12.7","15.4","11.7","16.6","2.4","3.0",".",".",".",".",".","0.3","0.3",".","."
"","225
001","56","3.375","35.7","26.8","25.0","8.9","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"","225
002","69","3.174","30.4","26.1","23.2","5.8","5.8","8.7",".",".",".",".",".",".",".",".",".","."
"","225
003","67","3.545","49.3","29.9","9.0","7.5","3.0","1.5",".",".",".",".",".",".",".",".",".","."
"","225
004","65","3.508","50.8","24.6","16.9","3.1","1.5",".","3.1",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","257","3.399","41.6","26.8","18.3","6.2","3.1","2.7","1.2",".",".",".",".",".",".",".",".","."
"Issues in Psychology","311
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexual & Relationship Violence","322
001","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Introduction-Human Factors","349
001","41","3.915","90.2","2.4","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","2","***","","","","","","","","","","","","","","","",""
"Psychology of Personality","403
001","313","2.841","11.2","23.0","22.4","20.8","16.9","4.2","1.0",".",".",".",".",".","0.3",".","0.3","."
"Adult Psychopathology","405
001","369","3.567","57.2","14.9","19.5","3.0","3.5","0.8","0.5","0.5",".",".",".",".",".",".",".","."
"Human Sexuality","453
001","197","2.876","17.3","24.4","18.8","21.3","7.6","4.1","5.1","0.5",".",".",".",".","1.0",".",".","."
"Behavioral Neuroscience","454
001","430","3.497","44.7","27.2","17.7","6.3","2.8","0.7","0.5",".",".",".",".",".","0.2",".",".","."
"","460
001","170","3.156","30.6","17.6","26.5","12.4","8.8","3.5","0.6",".",".",".",".",".",".",".",".","."
"","460
002","17","3.676","64.7","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Child Development","Course Total","187","3.217","33.7","17.6","25.1","11.2","8.6","3.2","0.5",".",".",".",".",".",".",".",".","."
"","462
001","172","3.212","21.5","35.5","24.4","10.5","5.2","1.2","1.7",".",".",".",".",".",".",".",".","."
"","462
002","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","Course Total","184","3.247","23.4","35.3","23.4","10.3","4.9","1.1","1.6",".",".",".",".",".",".",".",".","."
"Depth Topic in Social Science","501
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Development","503
001","100","3.295","38.0","19.0","25.0","6.0","9.0","3.0",".",".",".",".",".",".",".",".",".","."
"Depth Topic in Bio Science","505
001","53","3.226","39.6","7.5","39.6","7.5",".",".","5.7",".",".",".",".",".",".",".",".","."
"Hormones, Brain, and Behavior","513
001","175","3.468","43.4","28.0","16.0","6.3","2.3","2.9",".",".",".",".",".",".","1.1",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","158","3.847","82.3","10.1","4.4","1.3","0.6",".","0.6",".",".",".",".",".","0.6",".",".","."
"Psych Effects of the Internet","532
001","183","3.544","59.6","19.1","9.3","2.2","6.6","2.7","0.5",".",".",".",".",".",".",".",".","."
