"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","164","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","167","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","169","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","172","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","174","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","178","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","181","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","196","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","210","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","274","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","278","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","279","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","58","",".",".",".",".",".",".",".","89.7",".",".",".","10.3",".",".",".","."
