"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"639","005","","15","3.857","73.3","13.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"639","00A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"UG Elective Topic in Computing","Course Total","","356","3.575","52.5","23.6","14.9","4.2","1.7","0.3","1.1","1.7",".",".",".",".",".",".",".","."
"640","001","","61","3.449","36.1","26.2","24.6","8.2","1.6",".",".","3.3",".",".",".",".",".",".",".","."
"640","002","","46","3.389","30.4","34.8","23.9","6.5",".",".","2.2",".",".",".",".",".",".",".","2.2","."
"Intro to Computer Networks","Course Total","","107","3.423","33.6","29.9","24.3","7.5","0.9",".","0.9","1.9",".",".",".",".",".",".","0.9","."
"642
Intro to Information Security","001","","54","3.407","40.7","22.2","22.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"681","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","165","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","152","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","163","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","168","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","178","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","167","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","185","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","198","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 230 of 486",""
