"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","26","3.527","50.0","26.9","11.5","3.8","3.8","3.8",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","44","3.553","43.2","43.2","9.1",".","2.3",".","2.3","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","52","3.797","78.8","11.5","5.8",".","3.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","124","3.650","59.7","25.8","8.9","0.8","3.2","0.8","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","55","3.810","72.7","18.2","9.1",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","184","3.663","63.6","22.8","9.2","0.5","2.2","0.5","1.1","",".","",".",".","",".","",".","",".",".",".","."
