"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","153","3.653","58.2","28.1","6.5","0.7","2.6","0.7","1.3","2.0",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","49","3.011","8.2","12.2","53.1","10.2","8.2",".",".","8.2",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","29","3.214","24.1","27.6","27.6",".","17.2",".",".","3.4",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","453","3.661","65.3","15.2","9.1","2.9","2.4","0.9","1.1",".",".",".",".",".",".",".","3.1","."
"Soil: Ecosystem & Resource","230","001","9","2.188",".",".","22.2","33.3","11.1","22.2",".","11.1",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","27","3.850","63.0","7.4",".",".","3.7",".",".","25.9",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Revolutions and Social Change","301","001","20","3.789","90.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","5.0","."
"Econ Geog: Locational Behav","302","001","30","3.917","90.0","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","47","3.620","70.2","6.4","14.9",".","2.1","2.1","2.1",".",".",".",".",".",".",".","2.1","."
"People, Land and Food","309","001","29","3.792","65.5",".","17.2",".",".",".",".","10.3",".",".",".",".","6.9",".",".","."
"Geomorphology","320","001","11","3.722","36.4","45.5",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Green Urbanism","333","001","19","3.263","57.9","10.5","10.5","10.5",".",".","10.5",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","14","3.091","14.3","14.3","21.4","28.6",".",".",".",".",".",".",".",".",".","21.4",".","."
"Environmental Conservation","339","001","41","3.405","34.1","26.8","22.0","2.4","2.4",".","2.4","4.9",".",".",".",".",".",".","4.9","."
"World Regions in Global Contxt","340","001","196","3.531","43.4","33.7","14.8","2.6","1.0",".","2.0",".",".",".",".",".","2.6",".",".","."
"Geography of Wisconsin","342","001","228","3.711","62.3","5.7","3.9","3.1","1.3","1.8","0.9",".",".",".",".",".","1.3",".","19.7","."
"","370","001","62","3.533","67.7","12.9","6.5","1.6","3.2","1.6","4.8",".",".",".",".",".","1.6",".",".","."
"","370","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","64","3.548","68.8","12.5","6.3","1.6","3.1","1.6","4.7",".",".",".",".",".","1.6",".",".","."
"Intro Envir Remote Sensing","371","001","30","3.100","43.3",".","33.3","6.7","10.0",".","6.7",".",".",".",".",".",".",".",".","."
"","377","001","51","3.461","49.0","25.5","17.6",".","2.0","3.9","2.0",".",".",".",".",".",".",".",".","."
"","377","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","52","3.471","50.0","25.0","17.3",".","1.9","3.8","1.9",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","378","070","13","3.231","61.5","15.4","7.7",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"","475","001","16","3.433","68.8","6.3",".",".","12.5",".","6.3",".",".",".",".",".","6.3",".",".","."
"","475","002","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","475","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geography","","Course Total","40","3.786","85.0","2.5",".",".","5.0",".","2.5",".",".",".",".",".","5.0",".",".","."
"Economic Geography","510","001","15","3.567","46.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Feminist Geography Methods","514","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transforming Earth Systems","526","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","47","3.798","68.1","23.4","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","070","10","2.700","60.0",".","10.0",".",".",".","30.0",".",".",".",".",".",".",".",".","."
"Advanced Geocomputing","573","001","49","3.898","87.8","6.1","4.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","574","070","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","575","070","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Web/Mobile Programming","576","070","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 255 of 486",""
