"Student Teaching in Elem Art","423
001","","13","",".",".",".",".","","",".",".",".",".","",".","","100.0",".","",".","","",".",".",".","."
"Student Teaching in Sec Art","424
001","","13","",".",".",".",".","","",".",".",".",".","",".","","100.0",".","",".","","",".",".",".","."
"Seminar in Art Education","425
001","","13","3.846","76.9","15.4","7.7",".","","",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"ART ED
176","Dept. Total","","52","3.423","23.1","15.4","7.7","",".","",".","1.9","1.9","",".","",".","50.0","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","6","3.417","16.7","50.0","33.3","",".","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","36","3.571","27.8","5.6","2.8","",".","",".",".","2.8","",".","",".","61.1","",".","",".","",".",".",".","."
"Undergraduates","","","46","3.396","23.9","15.2","8.7","",".","",".","2.2","2.2","",".","",".","47.8","",".","",".","",".",".",".","."
"Special","","","6","3.750","16.7","16.7",".","",".","",".",".",".","",".","",".","66.7","",".","",".","",".",".",".","."
"","Dept. Total","","52","3.423","23.1","15.4","7.7","",".","",".","1.9","1.9","",".","",".","50.0","",".","",".","",".",".",".","."
