"HEC","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills","111
001","486","3.820","84.8","8.4","2.1","1.2","1.9","0.4","1.2",".",".",".",".",".",".",".",".","."
"","175
001","197","3.842","78.7","13.7","2.5","2.0","0.5",".","0.5","2.0",".",".",".",".",".",".",".","."
"","175
002","186","3.702","68.8","15.6","4.3","4.8","2.2","1.1","0.5","2.7",".",".",".",".",".",".",".","."
"Intro to Consumer Finance","Course Total","383","3.774","73.9","14.6","3.4","3.4","1.3","0.5","0.5","2.3",".",".",".",".",".",".",".","."
"","201
001","77","3.740","75.3","11.7","6.5","1.3","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"","201
002","67","3.784","65.7","28.4","4.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","201
003","82","3.628","67.1","17.1","3.7","6.1","3.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"","201
103","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Insights","Course Total","229","3.716","69.9","18.3","4.8","2.6","3.1","0.9","0.4",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","253","3.630","69.6","13.0","6.3","4.0","4.0","2.4","0.8",".",".",".",".",".",".",".",".","."
"","251
001","76","3.461","78.9",".","6.6","2.6","1.3","1.3","9.2",".",".",".",".",".",".",".",".","."
"","251
002","29","3.603","82.8","3.4","3.4",".","3.4",".","6.9",".",".",".",".",".",".",".",".","."
"","251
102","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","Course Total","110","3.509","80.0","0.9","5.5","2.7","1.8","0.9","8.2",".",".",".",".",".",".",".",".","."
"Cons Fin Svcs Innovation","255
001","46","3.315","21.7","37.0","30.4","4.3","6.5",".",".",".",".",".",".",".",".",".",".","."
"","257
001","104","3.587","61.5","17.3","4.8","10.6","2.9","1.9",".","1.0",".",".",".",".",".",".",".","."
"","257
002","95","3.679","58.9","25.3","10.5","3.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Retail","Course Total","199","3.631","60.3","21.1","7.5","7.0","2.5","1.0",".","0.5",".",".",".",".",".",".",".","."
"","275
001","52","3.154","13.5","51.9","11.5","13.5","3.8","3.8","1.9",".",".",".",".",".",".",".",".","."
"","275
002","63","3.127","28.6","36.5","12.7","7.9","6.3",".","7.9",".",".",".",".",".",".",".",".","."
"Intro to Personal Fin Planning","Course Total","115","3.139","21.7","43.5","12.2","10.4","5.2","1.7","5.2",".",".",".",".",".",".",".",".","."
"","301
001","19","3.306","26.3","26.3","21.1","21.1",".",".",".","5.3",".",".",".",".",".",".",".","."
"","301
002","43","3.465","41.9","30.2","16.3","7.0","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","301
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Analytics","Course Total","63","3.403","36.5","28.6","17.5","12.7","1.6","1.6",".","1.6",".",".",".",".",".",".",".","."
"","355
001","30","3.667","76.7","13.3","3.3",".",".","3.3","3.3",".",".",".",".",".",".",".",".","."
"","355
002","60","3.775","76.7","11.7","6.7",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Financial Coaching","Course Total","90","3.739","76.7","12.2","5.6",".","3.3","1.1","1.1",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","38","3.487","42.1","39.5","13.2",".",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"","465
001","28","3.768","67.9","25.0",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","465
002","30","3.717","60.0","36.7",".",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","Course Total","58","3.741","63.8","31.0",".","3.4",".","1.7",".",".",".",".",".",".",".",".",".","."
"","477
001","39","3.128","15.4","33.3","25.6","17.9","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"","477
002","48","3.010","18.8","27.1","25.0","12.5","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","477
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","88","3.068","17.0","30.7","25.0","14.8","6.8","5.7",".",".",".",".",".",".",".",".",".","."
"","501
001","10","3.389","40.0","10.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","501
00A","20","3.781","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
00B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","31","3.679","61.3","16.1","16.1",".","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"","555
001","37","3.541","56.8","16.2","13.5","10.8",".","2.7",".",".",".",".",".",".",".",".",".","."
